;Time(s)       Ch0/V           Ch0/V           Ch2/V           Ch3/V           Z_Motor         Beam_current    temperature     Absorbance
;lambda (nm)   110.000
0.000          0.0002          -0.0006         -1.29240        -0.00020        0.0000          181.3604        -50.16          0.000
0.750          0.0002          -0.0006         -1.30110        -0.00020        0.0000          181.3513        -50.16          0.000
1.510          0.0002          -0.0006         -1.30090        -0.00020        0.0000          181.3238        -50.16          0.000
2.270          0.0002          -0.0006         -1.29930        -0.00020        0.0000          181.3054        -50.12          0.000
3.010          0.0002          -0.0006         -1.29810        -0.00020        0.0000          181.2871        -50.16          0.000
3.760          0.0002          -0.0006         -1.29460        -0.00020        0.0000          181.2688        -50.12          0.000
4.510          0.0002          -0.0006         -1.29630        -0.00020        0.0000          181.2504        -50.16          0.000
5.260          0.0002          -0.0006         -1.29870        -0.00020        0.0000          181.2413        -50.16          0.000
6.011          0.0002          -0.0006         -1.29840        -0.00020        0.0000          181.2229        -50.12          0.000
6.761          0.0002          -0.0006         -1.30420        -0.00020        0.0000          181.2046        -50.16          0.000
7.512          0.0002          -0.0006         -1.30570        -0.00020        0.0000          181.1863        -50.16          0.000
8.262          0.0002          -0.0006         -1.30580        -0.00020        0.0000          181.1680        -50.12          0.000
9.002          0.0002          -0.0006         -1.30460        -0.00020        0.0000          181.1405        -50.16          0.000
9.763          0.0002          -0.0006         -1.30190        -0.00020        0.0000          181.1313        -50.16          0.000
10.513         0.0002          -0.0006         -1.29940        -0.00020        0.0000          181.1130        -50.16          0.000
11.263         0.0002          -0.0006         -1.30280        -0.00020        0.0000          181.0946        -50.16          0.000
12.004         0.0002          -0.0006         -1.30360        -0.00020        0.0000          181.0763        -50.16          0.000
12.764         0.0002          -0.0006         -1.30670        -0.00020        0.0000          181.0488        -50.12          0.000
13.505         0.0002          -0.0006         -1.30950        -0.00020        0.0000          181.0397        -50.12          0.000
14.264         0.0002          -0.0006         -1.31100        -0.00020        0.0000          181.0213        -50.16          0.000
15.004         0.0002          -0.0006         -1.31070        -0.00020        0.0000          181.0030        -50.16          0.000
15.755         0.0002          -0.0006         -1.30780        -0.00020        0.0000          180.9847        -50.16          0.000
16.514         0.0002          -0.0006         -1.30590        -0.00020        0.0000          180.9663        -50.16          0.000
17.255         0.0002          -0.0006         -1.30760        -0.00020        0.0000          180.9480        -50.12          0.000
18.015         0.0002          -0.0006         -1.30900        -0.00020        0.0000          180.9297        -50.16          0.000
18.766         0.0002          -0.0006         -1.31100        -0.00020        0.0000          180.9113        -50.16          0.000
19.517         0.0002          -0.0006         -1.31420        -0.00020        0.0000          180.8930        -50.12          0.000
20.256         0.0002          -0.0006         -1.31690        -0.00020        0.0000          180.8839        -50.16          0.000
21.006         0.0002          -0.0006         -1.31600        -0.00020        0.0000          180.8655        -50.16          0.000
21.756         0.0002          -0.0006         -1.31340        -0.00020        0.0000          180.8472        -50.16          0.000
22.511         0.0002          -0.0006         -1.31100        -0.00020        0.0000          180.8289        -50.16          0.000
23.260         0.0002          -0.0006         -1.31260        -0.00020        0.0000          180.8105        -50.16          0.000
24.020         0.0002          -0.0006         -1.31340        -0.00020        0.0000          180.7830        -50.16          0.000
24.751         0.0002          -0.0006         -1.31470        -0.00020        0.0000          180.7739        -50.16          0.000
25.502         0.0002          -0.0006         -1.31660        -0.00020        0.0000          180.7555        -50.16          0.000
26.251         0.0002          -0.0006         -1.31590        -0.00020        0.0000          180.7281        -50.16          0.000
27.015         0.0002          -0.0006         -1.31300        -0.00020        0.0000          180.7189        -50.16          0.000
27.755         0.0002          -0.0006         -1.30560        -0.00020        0.0000          180.7006        -50.16          0.000
28.506         0.0002          -0.0006         -1.30080        -0.00020        0.0000          180.6822        -50.16          0.000
29.255         0.0002          -0.0006         -1.30000        -0.00020        0.0000          180.6639        -50.12          0.000
30.005         0.0002          -0.0006         -1.29860        -0.00020        0.0000          180.6456        -50.16          0.000
30.766         0.0002          -0.0006         -1.29900        -0.00020        0.0000          180.6272        -50.16          0.000
31.516         0.0002          -0.0006         -1.29930        -0.00020        0.0000          180.6089        -50.16          0.000
32.267         0.0002          -0.0006         -1.29650        -0.00020        0.0000          180.5997        -50.16          0.000
33.006         0.0002          -0.0006         -1.29320        -0.00020        0.0000          180.5814        -50.16          0.000
33.766         0.0002          -0.0006         -1.28590        -0.00020        0.0000          180.5631        -50.16          0.000
34.516         0.0002          -0.0006         -1.28390        -0.00020        0.0000          180.5448        -50.16          0.000
35.266         0.0002          -0.0006         -1.28460        -0.00020        0.0000          180.5264        -50.16          0.000
36.006         0.0002          -0.0006         -1.28220        -0.00020        0.0000          180.5081        -50.16          0.000
36.766         0.0002          -0.0006         -1.28530        -0.00020        0.0000          180.4898        -50.16          0.000
37.506         0.0002          -0.0006         -1.28670        -0.00020        0.0000          180.4806        -50.16          0.000
38.257         0.0002          -0.0006         -1.28430        -0.00020        0.0000          180.4531        -50.16          0.000
39.007         0.0002          -0.0006         -1.28220        -0.00020        0.0000          180.4348        -50.16          0.000
39.768         0.0002          -0.0006         -1.27870        -0.00020        0.0000          180.4165        -50.16          0.000
40.517         0.0002          -0.0006         -1.28120        -0.00020        0.0000          180.3981        -50.16          0.000
41.267         0.0002          -0.0006         -1.28060        -0.00020        0.0000          180.3890        -50.16          0.000
42.018         0.0002          -0.0006         -1.28450        -0.00020        0.0000          180.3706        -50.16          0.000
42.757         0.0002          -0.0006         -1.28740        -0.00020        0.0000          180.3523        -50.16          0.000
43.517         0.0002          -0.0006         -1.28720        -0.00020        0.0000          180.3340        -50.16          0.000
44.258         0.0002          -0.0006         -1.28330        -0.00020        0.0000          180.3156        -50.16          0.000
45.008         0.0002          -0.0006         -1.28060        -0.00020        0.0000          180.2973        -50.12          0.000
45.768         0.0002          -0.0006         -1.28290        -0.00020        0.0000          180.2698        -50.16          0.000
46.518         0.0002          -0.0006         -0.50790        -0.00020        0.0000          180.2607        -50.16          0.000
47.268         0.0002          -0.0006         0.00050         -0.00020        0.0000          180.2423        -50.16          0.000
48.019         0.0002          -0.0006         0.00050         -0.00020        0.0000          180.2240        -50.16          0.000
48.769         0.0002          -0.0006         0.00050         -0.00020        0.0000          180.2057        -50.16          0.000
49.508         0.0002          -0.0006         0.00050         -0.00020        0.0000          180.1782        -50.16          0.000
50.259         0.0002          -0.0006         0.00050         -0.00020        0.0000          180.1690        -50.16          0.000
51.009         0.0002          -0.0006         0.00050         -0.00020        0.0000          180.1415        -50.16          0.000
51.769         0.0002          -0.0006         0.00050         -0.00020        0.0000          180.1323        -50.16          0.000
52.509         0.0002          -0.0006         0.00050         -0.00020        0.0000          180.1140        -50.16          0.000
53.269         0.0002          -0.0006         0.00050         -0.00020        0.0000          180.0957        -50.12          0.000
54.010         0.0002          -0.0006         0.00050         -0.00020        0.0000          180.0774        -50.16          0.000
54.761         0.0002          -0.0006         0.00050         -0.00020        0.0000          180.0590        -50.12          0.000
55.501         0.0002          -0.0006         0.00050         -0.00020        0.0000          180.0407        -50.12          0.000
56.261         0.0002          -0.0006         0.00050         -0.00020        0.0000          180.0315        -50.16          0.000
57.011         0.0002          -0.0006         0.00050         -0.00020        0.0000          180.0132        -50.16          0.000
57.753         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.9949        -50.16          0.000
58.511         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.9765        -50.16          0.000
59.251         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.9674        -50.16          0.000
60.012         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.9399        -50.12          0.000
60.764         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.9307        -50.16          0.000
61.513         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.9032        -50.16          0.000
62.253         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.8941        -50.16          0.000
63.007         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.8757        -50.16          0.000
63.759         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.8574        -50.16          0.000
64.500         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.8391        -50.16          0.000
65.252         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.8207        -50.16          0.000
66.001         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.8024        -50.16          0.000
66.752         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.7841        -50.16          0.000
67.512         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.7658        -50.16          0.000
68.262         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.7474        -50.16          0.000
69.012         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.7383        -50.16          0.000
69.752         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.7108        -50.16          0.000
70.513         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.6924        -50.12          0.000
71.253         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.6833        -50.12          0.000
72.004         0.0002          -0.0006         0.00050         -0.00020        0.0000          179.6649        -50.16          0.000
72.754         0.0002          -0.0006         0.00050         -0.00020        0.0000          184.3115        -50.16          0.000
73.514         0.0002          -0.0006         0.00050         -0.00020        0.0000          184.3023        -50.16          0.000
74.254         0.0002          -0.0006         0.00040         -0.00020        0.0000          184.2748        -50.12          0.000
75.014         0.0002          -0.0006         0.00040         -0.00020        0.0000          184.2656        -50.16          0.000
75.764         0.0002          -0.0006         0.00040         -0.00020        0.0000          184.2381        -50.12          0.000
76.504         0.0002          -0.0006         0.00040         -0.00020        0.0000          184.2290        -50.16          0.000
77.265         0.0002          -0.0006         0.00040         -0.00020        0.0000          184.2106        -50.16          0.000
78.015         0.0002          -0.0006         0.00040         -0.00020        0.0000          184.1923        -50.16          0.000
78.754         0.0002          -0.0006         0.00040         -0.00020        0.0000          184.1740        -50.16          0.000
79.505         0.0002          -0.0006         0.00040         -0.00020        0.0000          184.1557        -50.16          0.000
80.265         0.0002          -0.0006         0.00040         -0.00020        0.0000          184.1373        -50.12          0.000
81.015         0.0002          -0.0006         0.00040         -0.00020        0.0000          184.1098        -50.16          0.000
