;Time(s)       Ch0/V           Ch0/V           Ch2/V           Ch3/V           Z_Motor         Beam_current    temperature     Absorbance
;lambda (nm)   110.000
0.000          0.0002          -0.0006         -1.46930        -0.00020        0.0000          182.8726        -50.16          0.000
0.761          0.0002          -0.0006         -1.47350        -0.00020        0.0000          182.8543        -50.16          0.000
1.505          0.0002          -0.0006         -1.47200        -0.00020        0.0000          182.8359        -50.16          0.000
2.256          0.0002          -0.0006         -1.46710        -0.00020        0.0000          182.8084        -50.16          0.000
3.009          0.0002          -0.0006         -1.46920        -0.00020        0.0000          182.7901        -50.16          0.000
3.752          0.0002          -0.0006         -1.47000        -0.00020        0.0000          182.7718        -50.12          0.000
4.505          0.0002          -0.0006         -1.47330        -0.00020        0.0000          182.7535        -50.16          0.000
5.259          0.0002          -0.0006         -1.47920        -0.00020        0.0000          182.7351        -50.16          0.000
6.002          0.0002          -0.0006         -1.47920        -0.00020        0.0000          182.7168        -50.16          0.000
6.756          0.0002          -0.0006         -1.47600        -0.00020        0.0000          182.6985        -50.16          0.000
7.510          0.0002          -0.0006         -1.47290        -0.00020        0.0000          182.6893        -50.16          0.000
8.253          0.0002          -0.0006         -1.47370        -0.00020        0.0000          182.6618        -50.16          0.000
9.005          0.0002          -0.0006         -1.47470        -0.00020        0.0000          182.6435        -50.16          0.000
9.759          0.0002          -0.0006         -1.47830        -0.00020        0.0000          182.6251        -50.16          0.000
10.501         0.0002          -0.0006         -1.48140        -0.00020        0.0000          182.6068        -50.16          0.000
11.254         0.0002          -0.0006         -1.48280        -0.00020        0.0000          182.5885        -50.16          0.000
12.008         0.0002          -0.0006         -1.48110        -0.00020        0.0000          182.5610        -50.16          0.000
12.761         0.0002          -0.0006         -1.48110        -0.00020        0.0000          182.5427        -50.16          0.000
13.504         0.0002          -0.0006         -1.48110        -0.00020        0.0000          182.5243        -50.16          0.000
14.257         0.0002          -0.0006         -1.47900        -0.00020        0.0000          182.5060        -50.16          0.000
15.000         0.0002          -0.0006         -1.47940        -0.00020        0.0000          182.4877        -50.16          0.000
15.761         0.0002          -0.0006         -1.48670        -0.00020        0.0000          182.4693        -50.16          0.000
16.514         0.0002          -0.0006         -1.48730        -0.00020        0.0000          182.4510        -50.16          0.000
17.260         0.0002          -0.0006         -1.48440        -0.00020        0.0000          182.4327        -50.16          0.000
18.003         0.0002          -0.0006         -1.48140        -0.00020        0.0000          182.4144        -50.16          0.000
18.756         0.0002          -0.0006         -1.48220        -0.00020        0.0000          182.3960        -50.16          0.000
19.510         0.0002          -0.0006         -1.48330        -0.00020        0.0000          182.3777        -50.16          0.000
20.253         0.0002          -0.0006         -1.48680        -0.00020        0.0000          182.3685        -50.16          0.000
21.006         0.0002          -0.0006         -1.48990        -0.00020        0.0000          182.3319        -50.12          0.000
21.760         0.0002          -0.0006         -1.49000        -0.00020        0.0000          182.3227        -50.16          0.000
22.503         0.0002          -0.0006         -1.48860        -0.00020        0.0000          182.3044        -50.12          0.000
23.256         0.0002          -0.0006         -1.48300        -0.00020        0.0000          182.2861        -50.16          0.000
24.009         0.0002          -0.0006         -1.48550        -0.00020        0.0000          182.2586        -50.16          0.000
24.752         0.0002          -0.0006         -1.48580        -0.00020        0.0000          182.2402        -50.12          0.000
25.505         0.0002          -0.0006         -1.48950        -0.00020        0.0000          182.2311        -50.16          0.000
26.258         0.0002          -0.0006         -1.49420        -0.00020        0.0000          182.2036        -50.16          0.000
27.012         0.0002          -0.0006         -1.49350        -0.00020        0.0000          182.1852        -50.16          0.000
27.755         0.0002          -0.0006         -1.48920        -0.00020        0.0000          182.1669        -50.16          0.000
28.508         0.0002          -0.0006         -1.48600        -0.00020        0.0000          182.1486        -50.16          0.000
29.251         0.0002          -0.0006         -1.49000        -0.00020        0.0000          182.1303        -50.16          0.000
30.003         0.0002          -0.0006         -1.48890        -0.00020        0.0000          182.1119        -50.12          0.000
30.756         0.0002          -0.0006         -1.49580        -0.00020        0.0000          182.0936        -50.16          0.000
31.510         0.0002          -0.0006         -1.49680        -0.00020        0.0000          182.0753        -50.16          0.000
32.253         0.0002          -0.0006         -1.49440        -0.00020        0.0000          182.0569        -50.16          0.000
33.015         0.0002          -0.0006         -1.49170        -0.00020        0.0000          182.0386        -50.16          0.000
33.755         0.0002          -0.0006         -1.49070        -0.00020        0.0000          182.0111        -50.16          0.000
34.509         0.0002          -0.0006         -1.49230        -0.00020        0.0000          182.0019        -50.16          0.000
35.252         0.0002          -0.0006         -1.49430        -0.00020        0.0000          181.9836        -50.16          0.000
36.006         0.0002          -0.0006         -1.49740        -0.00020        0.0000          181.9653        -50.16          0.000
36.756         0.0002          -0.0006         -1.49730        -0.00020        0.0000          181.9378        -50.16          0.000
37.501         0.0002          -0.0006         -1.49500        -0.00020        0.0000          181.9286        -50.16          0.000
38.262         0.0002          -0.0006         -1.49020        -0.00020        0.0000          181.9103        -50.16          0.000
39.007         0.0002          -0.0006         -1.49230        -0.00020        0.0000          181.8828        -50.16          0.000
39.759         0.0002          -0.0006         -1.49250        -0.00020        0.0000          181.8645        -50.12          0.000
40.505         0.0002          -0.0006         -1.49620        -0.00020        0.0000          181.8461        -50.16          0.000
41.258         0.0002          -0.0006         -1.49890        -0.00020        0.0000          181.8278        -50.16          0.000
42.001         0.0002          -0.0006         -1.49760        -0.00020        0.0000          181.8095        -50.12          0.000
42.755         0.0002          -0.0006         -1.49110        -0.00020        0.0000          181.7912        -50.16          0.000
43.507         0.0002          -0.0006         -1.49050        -0.00020        0.0000          181.7728        -50.16          0.000
44.250         0.0002          -0.0006         -1.49340        -0.00020        0.0000          181.7545        -50.16          0.000
45.004         0.0002          -0.0006         -1.49250        -0.00020        0.0000          181.7362        -50.16          0.000
45.757         0.0002          -0.0006         -1.49910        -0.00020        0.0000          181.7178        -50.16          0.000
46.517         0.0002          -0.0006         -1.49840        -0.00020        0.0000          181.6995        -50.16          0.000
47.254         0.0002          -0.0006         -1.49350        -0.00020        0.0000          181.6812        -50.12          0.000
48.014         0.0002          -0.0006         -1.49010        -0.00020        0.0000          181.6629        -50.16          0.000
48.756         0.0002          -0.0006         -1.49240        -0.00020        0.0000          181.6445        -50.16          0.000
49.509         0.0002          -0.0006         -1.49220        -0.00020        0.0000          181.6170        -50.16          0.000
50.251         0.0002          -0.0006         -1.49700        -0.00020        0.0000          181.5987        -50.16          0.000
51.019         0.0002          -0.0006         -1.49800        -0.00020        0.0000          181.5804        -50.16          0.000
51.757         0.0002          -0.0006         -1.49500        -0.00020        0.0000          181.5620        -50.16          0.000
52.505         0.0002          -0.0006         -1.49130        -0.00020        0.0000          181.5529        -50.12          0.000
53.253         0.0002          -0.0006         -1.49080        -0.00020        0.0000          181.5254        -50.12          0.000
54.001         0.0002          -0.0006         -1.49260        -0.00020        0.0000          181.5071        -50.16          0.000
54.758         0.0002          -0.0006         -1.49430        -0.00020        0.0000          181.4887        -50.16          0.000
55.506         0.0002          -0.0006         -1.49710        -0.00020        0.0000          181.4704        -50.16          0.000
56.254         0.0002          -0.0006         -1.49580        -0.00020        0.0000          181.4521        -50.16          0.000
57.006         0.0002          -0.0006         -1.49260        -0.00020        0.0000          181.4337        -50.16          0.000
57.760         0.0002          -0.0006         -1.48940        -0.00020        0.0000          181.4154        -50.16          0.000
58.503         0.0002          -0.0006         -1.49110        -0.00020        0.0000          181.3971        -50.16          0.000
59.257         0.0002          -0.0006         -1.49130        -0.00020        0.0000          181.3787        -50.16          0.000
60.001         0.0002          -0.0006         -1.49630        -0.00020        0.0000          181.3604        -50.16          0.000
60.753         0.0002          -0.0006         -1.49780        -0.00020        0.0000          181.3329        -50.16          0.000
61.507         0.0002          -0.0006         -1.49520        -0.00020        0.0000          181.3238        -50.16          0.000
62.255         0.0002          -0.0006         -1.48950        -0.00020        0.0000          181.2963        -50.12          0.000
