;Time(s)       Ch0/V           Ch0/V           Ch2/V           Ch3/V           Z_Motor         Beam_current    temperature     Absorbance
;lambda (nm)   110.000
44.260         0.0002          -0.0006         -1.51160        -0.00020        0.0000          180.9205        -50.16          0.000
45.020         0.0002          -0.0006         -1.51230        -0.00020        0.0000          180.9022        -50.12          0.000
45.770         0.0002          -0.0006         -1.51780        -0.00020        0.0000          180.8747        -50.16          0.000
46.501         0.0002          -0.0006         -1.51760        -0.00020        0.0000          180.8655        -50.12          0.000
47.262         0.0002          -0.0006         -1.51380        -0.00020        0.0000          180.8380        -50.16          0.000
48.012         0.0002          -0.0006         -1.50970        -0.00020        0.0000          180.8289        -50.16          0.000
48.752         0.0002          -0.0005         -1.51270        -0.00020        0.0000          180.8014        -50.16          0.000
49.502         0.0002          -0.0005         -1.51370        -0.00020        0.0000          180.7922        -50.16          0.000
50.252         0.0002          -0.0005         -1.51710        -0.00020        0.0000          180.7647        -50.16          0.000
51.013         0.0002          -0.0005         -1.51890        -0.00020        0.0000          180.7464        -50.16          0.000
51.763         0.0002          -0.0006         -1.51780        -0.00020        0.0000          180.7281        -50.12          0.000
52.513         0.0002          -0.0005         -1.51460        -0.00020        0.0000          180.7097        -50.16          0.000
53.253         0.0002          -0.0006         -1.51120        -0.00020        0.0000          180.6914        -50.16          0.000
54.003         0.0002          -0.0006         -1.51420        -0.00020        0.0000          180.6731        -50.16          0.000
54.765         0.0002          -0.0005         -1.51440        -0.00020        0.0000          180.6547        -50.16          0.000
55.514         0.0002          -0.0006         -1.51810        -0.00020        0.0000          180.6364        -50.16          0.000
56.256         0.0002          -0.0006         -1.52100        -0.00020        0.0000          180.6272        -50.12          0.000
57.016         0.0002          -0.0006         -1.51910        -0.00020        0.0000          180.6089        -50.16          0.000
57.766         0.0002          -0.0006         -1.51180        -0.00020        0.0000          180.5814        -50.16          0.000
58.507         0.0002          -0.0005         -1.51300        -0.00020        0.0000          180.5723        -50.16          0.000
59.257         0.0002          -0.0006         -1.51670        -0.00020        0.0000          180.5539        -50.16          0.000
60.017         0.0002          -0.0005         -1.51610        -0.00020        0.0000          180.5264        -50.16          0.000
60.758         0.0002          -0.0006         -1.52230        -0.00020        0.0000          180.5081        -50.16          0.000
61.517         0.0002          -0.0006         -1.52270        -0.00020        0.0000          180.4898        -50.16          0.000
62.257         0.0002          -0.0006         -1.51740        -0.00020        0.0000          180.4714        -50.16          0.000
63.007         0.0002          -0.0006         -1.51350        -0.00020        0.0000          180.4531        -50.16          0.000
63.768         0.0002          -0.0005         -1.51780        -0.00020        0.0000          180.4348        -50.16          0.000
64.508         0.0002          -0.0005         -1.51870        -0.00020        0.0000          180.4165        -50.16          0.000
65.258         0.0002          -0.0005         -1.52160        -0.00020        0.0000          180.3981        -50.16          0.000
66.017         0.0002          -0.0005         -1.52410        -0.00020        0.0000          180.3798        -50.16          0.000
66.757         0.0002          -0.0006         -1.52230        -0.00020        0.0000          180.3615        -50.16          0.000
67.509         0.0002          -0.0006         -1.51880        -0.00020        0.0000          180.3431        -50.16          0.000
68.258         0.0002          -0.0006         -1.51660        -0.00020        0.0000          180.3248        -50.16          0.000
69.008         0.0002          -0.0006         -1.51970        -0.00020        0.0000          180.3065        -50.16          0.000
69.758         0.0002          -0.0006         -1.52020        -0.00020        0.0000          180.2790        -50.16          0.000
70.508         0.0002          -0.0006         -1.52330        -0.00020        0.0000          180.2698        -50.16          0.000
71.269         0.0002          -0.0006         -1.52590        -0.00020        0.0000          180.2515        -50.16          0.000
72.008         0.0002          -0.0006         -1.52390        -0.00020        0.0000          180.2332        -50.16          0.000
72.758         0.0002          -0.0006         -1.51650        -0.00020        0.0000          180.2057        -50.16          0.000
73.518         0.0002          -0.0006         -1.51800        -0.00020        0.0000          180.1873        -50.16          0.000
74.260         0.0002          -0.0006         -1.52260        -0.00020        0.0000          180.1690        -50.16          0.000
75.009         0.0002          -0.0006         -1.52240        -0.00020        0.0000          180.1507        -50.16          0.000
75.759         0.0002          -0.0006         -1.52670        -0.00020        0.0000          180.1323        -50.16          0.000
76.510         0.0002          -0.0006         -1.52700        -0.00020        0.0000          180.1140        -50.16          0.000
77.250         0.0002          -0.0006         -1.52220        -0.00020        0.0000          180.0957        -50.16          0.000
78.001         0.0002          -0.0006         -1.51820        -0.00020        0.0000          180.0774        -50.12          0.000
78.751         0.0002          -0.0006         -1.52260        -0.00020        0.0000          180.0590        -50.16          0.000
79.512         0.0002          -0.0006         -1.52410        -0.00020        0.0000          180.0407        -50.16          0.000
80.261         0.0002          -0.0006         -1.52720        -0.00020        0.0000          180.0224        -50.16          0.000
81.012         0.0002          -0.0006         -1.52820        -0.00020        0.0000          180.0040        -50.16          0.000
81.752         0.0002          -0.0006         -1.52630        -0.00020        0.0000          179.9857        -50.16          0.000
82.503         0.0002          -0.0006         -1.52350        -0.00020        0.0000          179.9674        -50.12          0.000
83.262         0.0002          -0.0006         -1.52130        -0.00020        0.0000          179.9491        -50.16          0.000
84.003         0.0002          -0.0005         -1.52420        -0.00020        0.0000          179.9307        -50.16          0.000
84.755         0.0002          -0.0005         -1.52570        -0.00020        0.0000          179.9124        -50.16          0.000
85.504         0.0002          -0.0006         -1.52910        -0.00020        0.0000          179.9032        -50.12          0.000
86.264         0.0002          -0.0006         -1.52960        -0.00020        0.0000          179.8757        -50.16          0.000
87.004         0.0002          -0.0006         -1.52740        -0.00020        0.0000          179.8574        -50.12          0.000
87.765         0.0002          -0.0006         -1.52140        -0.00020        0.0000          179.8391        -50.16          0.000
88.505         0.0002          -0.0006         -1.52350        -0.00020        0.0000          179.8207        -50.12          0.000
89.255         0.0002          -0.0006         -1.52700        -0.00020        0.0000          179.8024        -50.16          0.000
90.005         0.0002          -0.0006         -1.52650        -0.00020        0.0000          179.7841        -50.16          0.000
90.755         0.0002          -0.0006         -1.53160        -0.00020        0.0000          179.7658        -50.16          0.000
91.515         0.0002          -0.0006         -1.53130        -0.00020        0.0000          179.7474        -50.16          0.000
92.265         0.0002          -0.0006         -1.52560        -0.00020        0.0000          179.7291        -50.16          0.000
93.007         0.0002          -0.0006         -1.52220        -0.00020        0.0000          179.7108        -50.16          0.000
93.767         0.0002          -0.0006         -1.52740        -0.00020        0.0000          179.6924        -50.16          0.000
94.517         0.0002          -0.0006         -1.52860        -0.00020        0.0000          179.6649        -50.16          0.000
95.266         0.0002          -0.0006         -1.53090        -0.00020        0.0000          179.6466        -50.16          0.000
96.017         0.0002          -0.0006         -1.53200        -0.00020        0.0000          179.6375        -50.12          0.000
96.767         0.0002          -0.0006         -1.53000        -0.00020        0.0000          184.0548        -50.16          0.000
97.517         0.0002          -0.0006         -1.52740        -0.00020        0.0000          184.0365        -50.16          0.000
98.257         0.0002          -0.0006         -1.52500        -0.00020        0.0000          184.0182        -50.16          0.000
99.017         0.0002          -0.0006         -1.52760        -0.00020        0.0000          183.9999        -50.16          0.000
99.759         0.0002          -0.0006         -1.52890        -0.00020        0.0000          183.9815        -50.16          0.000
100.518        0.0002          -0.0006         -1.53240        -0.00020        0.0000          183.9540        -50.16          0.000
101.258        0.0002          -0.0006         -1.53290        -0.00020        0.0000          183.9449        -50.16          0.000
102.018        0.0002          -0.0006         -1.53100        -0.00020        0.0000          183.9265        -50.16          0.000
102.768        0.0002          -0.0006         -1.52560        -0.00020        0.0000          183.8990        -50.16          0.000
103.508        0.0002          -0.0006         -1.52650        -0.00020        0.0000          183.8807        -50.16          0.000
104.259        0.0002          -0.0006         -1.53070        -0.00020        0.0000          183.8624        -50.16          0.000
105.019        0.0002          -0.0006         -1.52960        -0.00020        0.0000          183.8441        -50.16          0.000
105.759        0.0002          -0.0006         -1.53440        -0.00020        0.0000          183.8257        -50.16          0.000
106.510        0.0002          -0.0006         -1.53450        -0.00020        0.0000          183.7982        -50.16          0.000
107.270        0.0002          -0.0006         -1.53070        -0.00020        0.0000          183.7799        -50.16          0.000
108.000        0.0002          -0.0006         -1.52690        -0.00020        0.0000          183.7707        -50.16          0.000
108.750        0.0002          -0.0006         -1.52950        -0.00020        0.0000          183.7432        -50.16          0.000
109.511        0.0002          -0.0006         -1.53160        -0.00020        0.0000          183.7249        -50.16          0.000
