;Time(s)       Ch0/V           Ch0/V           Ch2/V           Ch3/V           Z_Motor         Beam_current    temperature     Absorbance
;lambda (nm)   110.000
0.000          0.0002          -0.0006         -1.41110        -0.00020        0.0000          183.2483        -50.16          0.000
0.752          0.0002          -0.0006         -1.41510        -0.00020        0.0000          183.2300        -50.12          0.000
1.502          0.0002          -0.0006         -1.41830        -0.00020        0.0000          183.2117        -50.16          0.000
2.254          0.0002          -0.0006         -1.41820        -0.00020        0.0000          183.1842        -50.16          0.000
3.007          0.0002          -0.0006         -1.41640        -0.00020        0.0000          183.1659        -50.16          0.000
3.769          0.0002          -0.0006         -1.41120        -0.00020        0.0000          183.1567        -50.16          0.000
4.501          0.0002          -0.0006         -1.41330        -0.00020        0.0000          183.1292        -50.16          0.000
5.254          0.0002          -0.0006         -1.41470        -0.00020        0.0000          183.1109        -50.16          0.000
6.006          0.0002          -0.0006         -1.41770        -0.00020        0.0000          183.0925        -50.16          0.000
6.759          0.0002          -0.0006         -1.42210        -0.00020        0.0000          183.0742        -50.16          0.000
7.502          0.0002          -0.0006         -1.42120        -0.00020        0.0000          183.0559        -50.12          0.000
8.253          0.0002          -0.0006         -1.41560        -0.00020        0.0000          183.0376        -50.16          0.000
9.006          0.0002          -0.0006         -1.41370        -0.00020        0.0000          183.0284        -50.16          0.000
9.758          0.0002          -0.0006         -1.41760        -0.00020        0.0000          183.0009        -50.16          0.000
10.500         0.0002          -0.0006         -1.41660        -0.00020        0.0000          182.9734        -50.12          0.000
11.253         0.0002          -0.0006         -1.42330        -0.00020        0.0000          182.9642        -50.12          0.000
12.005         0.0002          -0.0006         -1.42370        -0.00020        0.0000          182.9459        -50.16          0.000
12.757         0.0002          -0.0006         -1.42090        -0.00020        0.0000          182.9276        -50.16          0.000
13.500         0.0002          -0.0006         -1.41790        -0.00020        0.0000          182.9001        -50.16          0.000
14.253         0.0002          -0.0006         -1.41860        -0.00020        0.0000          182.8909        -50.16          0.000
15.005         0.0002          -0.0006         -1.42040        -0.00020        0.0000          182.8726        -50.16          0.000
15.758         0.0002          -0.0006         -1.42340        -0.00020        0.0000          182.8451        -50.16          0.000
16.501         0.0002          -0.0006         -1.42550        -0.00020        0.0000          182.8268        -50.16          0.000
17.253         0.0002          -0.0006         -1.42540        -0.00020        0.0000          182.8176        -50.16          0.000
18.006         0.0002          -0.0006         -1.42280        -0.00020        0.0000          182.7901        -50.16          0.000
18.759         0.0002          -0.0006         -1.41910        -0.00020        0.0000          182.7718        -50.16          0.000
19.501         0.0002          -0.0006         -1.42210        -0.00020        0.0000          182.7535        -50.16          0.000
20.253         0.0002          -0.0006         -1.42220        -0.00020        0.0000          182.7443        -50.16          0.000
21.007         0.0002          -0.0006         -1.42660        -0.00020        0.0000          182.7168        -50.16          0.000
21.770         0.0002          -0.0006         -1.42910        -0.00020        0.0000          182.6985        -50.16          0.000
22.503         0.0002          -0.0006         -1.42710        -0.00020        0.0000          182.6801        -50.16          0.000
23.256         0.0002          -0.0006         -1.42160        -0.00020        0.0000          182.6618        -50.16          0.000
24.009         0.0002          -0.0006         -1.42270        -0.00020        0.0000          182.6435        -50.16          0.000
24.752         0.0002          -0.0006         -1.42480        -0.00020        0.0000          182.6251        -50.16          0.000
25.505         0.0002          -0.0006         -1.42590        -0.00020        0.0000          182.5977        -50.16          0.000
26.258         0.0002          -0.0006         -1.43120        -0.00020        0.0000          182.5885        -50.16          0.000
27.001         0.0002          -0.0006         -1.43030        -0.00020        0.0000          182.5610        -50.16          0.000
27.764         0.0002          -0.0006         -1.42540        -0.00020        0.0000          182.5518        -50.12          0.000
28.507         0.0002          -0.0006         -1.42180        -0.00020        0.0000          182.5243        -50.16          0.000
29.259         0.0002          -0.0006         -1.42370        -0.00020        0.0000          182.5152        -50.16          0.000
30.003         0.0002          -0.0006         -1.42260        -0.00020        0.0000          182.4968        -50.16          0.000
30.765         0.0002          -0.0006         -1.42600        -0.00020        0.0000          182.4693        -50.16          0.000
31.508         0.0002          -0.0006         -1.42560        -0.00020        0.0000          182.4419        -50.16          0.000
32.250         0.0002          -0.0006         -1.42050        -0.00020        0.0000          182.4327        -50.16          0.000
33.014         0.0002          -0.0006         -1.41600        -0.00020        0.0000          182.4144        -50.16          0.000
33.756         0.0002          -0.0006         -1.41360        -0.00020        0.0000          182.3869        -50.16          0.000
34.508         0.0002          -0.0006         -1.41360        -0.00020        0.0000          182.3777        -50.16          0.000
35.252         0.0002          -0.0006         -1.41360        -0.00020        0.0000          182.3594        -50.16          0.000
36.005         0.0002          -0.0006         -1.41450        -0.00020        0.0000          182.3410        -50.16          0.000
36.757         0.0002          -0.0006         -1.41090        -0.00020        0.0000          182.3227        -50.16          0.000
37.510         0.0002          -0.0006         -1.40730        -0.00020        0.0000          182.3044        -50.16          0.000
38.254         0.0002          -0.0006         -1.40050        -0.00020        0.0000          182.2861        -50.16          0.000
