;Time(s)       Ch0/V           Ch0/V           Ch2/V           Ch3/V           Z_Motor         Beam_current    temperature     Absorbance
;lambda (nm)   110.000
0.000          0.0002          -0.0006         -1.52170        -0.00020        0.0000          181.0946        -50.12          0.000
0.752          0.0002          -0.0006         -1.52110        -0.00020        0.0000          181.0763        -50.12          0.000
1.515          0.0002          -0.0006         -1.52660        -0.00020        0.0000          181.0580        -50.12          0.000
2.257          0.0002          -0.0006         -1.52600        -0.00020        0.0000          181.0397        -50.16          0.000
3.009          0.0002          -0.0006         -1.53040        -0.00020        0.0000          181.0213        -50.16          0.000
3.753          0.0002          -0.0006         -1.53180        -0.00020        0.0000          181.0030        -50.16          0.000
4.505          0.0002          -0.0006         -1.52920        -0.00020        0.0000          180.9847        -50.16          0.000
5.254          0.0002          -0.0006         -1.52640        -0.00020        0.0000          180.9663        -50.16          0.000
6.005          0.0002          -0.0006         -1.52490        -0.00020        0.0000          180.9480        -50.16          0.000
6.763          0.0002          -0.0006         -1.52750        -0.00020        0.0000          180.9297        -50.16          0.000
7.500          0.0002          -0.0006         -1.52830        -0.00020        0.0000          180.9113        -50.12          0.000
8.268          0.0002          -0.0006         -1.53170        -0.00020        0.0000          180.8930        -50.12          0.000
9.006          0.0002          -0.0006         -1.53340        -0.00020        0.0000          180.8747        -50.16          0.000
9.753          0.0002          -0.0006         -1.53290        -0.00020        0.0000          180.8472        -50.16          0.000
10.505         0.0002          -0.0006         -1.52900        -0.00020        0.0000          180.8289        -50.16          0.000
11.258         0.0002          -0.0006         -1.52560        -0.00020        0.0000          180.8105        -50.16          0.000
12.000         0.0002          -0.0006         -1.53020        -0.00020        0.0000          180.7922        -50.16          0.000
12.751         0.0002          -0.0006         -1.53190        -0.00020        0.0000          180.7739        -50.16          0.000
13.504         0.0002          -0.0006         -1.53400        -0.00020        0.0000          180.7555        -50.16          0.000
14.258         0.0002          -0.0006         -1.53620        -0.00020        0.0000          180.7372        -50.16          0.000
15.010         0.0002          -0.0006         -1.53580        -0.00020        0.0000          180.7281        -50.16          0.000
15.754         0.0002          -0.0006         -1.53340        -0.00020        0.0000          180.7006        -50.16          0.000
16.505         0.0002          -0.0006         -1.52930        -0.00020        0.0000          180.6822        -50.16          0.000
17.258         0.0002          -0.0006         -1.53200        -0.00020        0.0000          180.6639        -50.16          0.000
18.002         0.0002          -0.0006         -1.53460        -0.00020        0.0000          180.6547        -50.16          0.000
18.756         0.0002          -0.0006         -1.53480        -0.00020        0.0000          180.6272        -50.16          0.000
19.509         0.0002          -0.0006         -1.54040        -0.00020        0.0000          180.6089        -50.16          0.000
20.252         0.0002          -0.0006         -1.53960        -0.00020        0.0000          180.5997        -50.16          0.000
21.005         0.0002          -0.0006         -1.53720        -0.00020        0.0000          180.5814        -50.16          0.000
21.758         0.0002          -0.0006         -1.53480        -0.00020        0.0000          180.5539        -50.16          0.000
22.501         0.0002          -0.0006         -1.53570        -0.00020        0.0000          180.5356        -50.16          0.000
23.265         0.0002          -0.0006         -1.53780        -0.00020        0.0000          180.5173        -50.12          0.000
24.016         0.0002          -0.0006         -1.54000        -0.00020        0.0000          180.4989        -50.12          0.000
24.758         0.0002          -0.0006         -1.54220        -0.00020        0.0000          180.4898        -50.16          0.000
25.500         0.0002          -0.0006         -1.54210        -0.00020        0.0000          180.4623        -50.12          0.000
26.253         0.0002          -0.0006         -1.54140        -0.00020        0.0000          180.4439        -50.12          0.000
27.006         0.0002          -0.0006         -1.53580        -0.00020        0.0000          180.4256        -50.16          0.000
27.758         0.0002          -0.0006         -1.53640        -0.00020        0.0000          180.4073        -50.16          0.000
28.501         0.0002          -0.0006         -1.54170        -0.00020        0.0000          180.3981        -50.12          0.000
29.254         0.0002          -0.0006         -1.54080        -0.00020        0.0000          180.3798        -50.16          0.000
30.007         0.0002          -0.0006         -1.54570        -0.00020        0.0000          180.3523        -50.16          0.000
30.750         0.0002          -0.0006         -1.54660        -0.00020        0.0000          180.3431        -50.16          0.000
31.503         0.0002          -0.0006         -1.54500        -0.00020        0.0000          180.3248        -50.16          0.000
32.257         0.0002          -0.0006         -1.54240        -0.00020        0.0000          180.3065        -50.16          0.000
33.009         0.0002          -0.0006         -1.54340        -0.00020        0.0000          180.2790        -50.12          0.000
33.752         0.0002          -0.0006         -1.54680        -0.00020        0.0000          180.2698        -50.12          0.000
34.505         0.0002          -0.0006         -1.54760        -0.00020        0.0000          180.2423        -50.16          0.000
35.258         0.0002          -0.0006         -1.55140        -0.00020        0.0000          180.2240        -50.16          0.000
36.000         0.0002          -0.0006         -1.55390        -0.00020        0.0000          180.2148        -50.16          0.000
36.753         0.0002          -0.0006         -1.55280        -0.00020        0.0000          180.1873        -50.16          0.000
37.506         0.0002          -0.0006         -1.54760        -0.00020        0.0000          180.1690        -50.12          0.000
38.259         0.0002          -0.0006         -1.54710        -0.00020        0.0000          180.1507        -50.12          0.000
39.002         0.0002          -0.0006         -1.55270        -0.00020        0.0000          180.1323        -50.12          0.000
39.756         0.0002          -0.0006         -1.55180        -0.00020        0.0000          180.1140        -50.16          0.000
40.509         0.0002          -0.0006         -1.55590        -0.00020        0.0000          180.0957        -50.12          0.000
41.265         0.0002          -0.0006         -1.55690        -0.00020        0.0000          180.0774        -50.12          0.000
42.010         0.0002          -0.0006         -1.55380        -0.00020        0.0000          180.0590        -50.16          0.000
42.751         0.0002          -0.0006         -1.55070        -0.00020        0.0000          180.0407        -50.16          0.000
43.504         0.0002          -0.0006         -1.54860        -0.00020        0.0000          180.0224        -50.16          0.000
44.257         0.0002          -0.0006         -1.55120        -0.00020        0.0000          180.0040        -50.16          0.000
45.016         0.0002          -0.0006         -1.54980        -0.00020        0.0000          179.9857        -50.16          0.000
45.758         0.0002          -0.0006         -1.55240        -0.00020        0.0000          179.9674        -50.12          0.000
46.501         0.0002          -0.0006         -1.55370        -0.00020        0.0000          179.9582        -50.16          0.000
47.253         0.0002          -0.0006         -1.55160        -0.00020        0.0000          179.9307        -50.16          0.000
48.005         0.0002          -0.0006         -1.54480        -0.00020        0.0000          179.9124        -50.12          0.000
48.758         0.0002          -0.0006         -1.54180        -0.00020        0.0000          179.8941        -50.16          0.000
49.501         0.0002          -0.0006         -1.54570        -0.00020        0.0000          179.8757        -50.16          0.000
50.253         0.0002          -0.0006         -1.54490        -0.00020        0.0000          179.8574        -50.16          0.000
51.005         0.0002          -0.0006         -1.54590        -0.00020        0.0000          179.8391        -50.12          0.000
51.758         0.0002          -0.0006         -1.54610        -0.00020        0.0000          179.8207        -50.12          0.000
52.509         0.0002          -0.0006         -1.54230        -0.00020        0.0000          179.8024        -50.12          0.000
53.252         0.0002          -0.0006         -1.53910        -0.00020        0.0000          179.7841        -50.16          0.000
54.003         0.0002          -0.0006         -1.53310        -0.00020        0.0000          179.7749        -50.16          0.000
54.753         0.0002          -0.0006         -1.53500        -0.00020        0.0000          179.7566        -50.16          0.000
55.503         0.0002          -0.0006         -1.53360        -0.00020        0.0000          179.7383        -50.16          0.000
56.256         0.0002          -0.0006         -1.53480        -0.00020        0.0000          179.7108        -50.12          0.000
57.016         0.0002          -0.0006         -1.53480        -0.00020        0.0000          179.6924        -50.16          0.000
57.766         0.0002          -0.0006         -1.53250        -0.00020        0.0000          179.6833        -50.16          0.000
58.502         0.0002          -0.0006         -1.52640        -0.00020        0.0000          179.6558        -50.16          0.000
59.255         0.0002          -0.0006         -1.52190        -0.00020        0.0000          179.6375        -50.16          0.000
60.008         0.0002          -0.0006         -1.52300        -0.00020        0.0000          184.1648        -50.16          0.000
60.751         0.0002          -0.0006         -1.52280        -0.00020        0.0000          184.1557        -50.16          0.000
61.518         0.0002          -0.0006         -1.52280        -0.00020        0.0000          184.1282        -50.16          0.000
62.256         0.0002          -0.0006         -1.52270        -0.00020        0.0000          184.1098        -50.16          0.000
63.004         0.0002          -0.0006         -1.51750        -0.00020        0.0000          184.1007        -50.16          0.000
63.756         0.0002          -0.0006         -1.51460        -0.00020        0.0000          184.0732        -50.16          0.000
64.509         0.0002          -0.0006         -1.50760        -0.00020        0.0000          184.0548        -50.16          0.000
65.251         0.0002          -0.0006         -1.50860        -0.00020        0.0000          184.0365        -50.16          0.000
66.004         0.0002          -0.0006         -1.50680        -0.00020        0.0000          184.0182        -50.16          0.000
66.752         0.0002          -0.0006         -1.50590        -0.00020        0.0000          183.9907        -50.12          0.000
67.509         0.0002          -0.0006         -1.50680        -0.00020        0.0000          183.9815        -50.12          0.000
68.257         0.0002          -0.0006         -1.50410        -0.00020        0.0000          183.9632        -50.16          0.000
69.007         0.0002          -0.0006         -1.49630        -0.00020        0.0000          183.9449        -50.16          0.000
69.760         0.0002          -0.0006         -1.49140        -0.00020        0.0000          183.9174        -50.16          0.000
70.503         0.0002          -0.0006         -1.49140        -0.00020        0.0000          183.8990        -50.12          0.000
71.257         0.0002          -0.0006         -1.49090        -0.00020        0.0000          183.8715        -50.16          0.000
72.010         0.0002          -0.0006         -1.48790        -0.00020        0.0000          183.8624        -50.12          0.000
72.752         0.0002          -0.0006         -1.48810        -0.00020        0.0000          183.8441        -50.16          0.000
73.506         0.0002          -0.0006         -1.48390        -0.00020        0.0000          183.8257        -50.16          0.000
74.259         0.0002          -0.0006         -1.48030        -0.00020        0.0000          183.8074        -50.12          0.000
75.002         0.0002          -0.0006         -1.47070        -0.00020        0.0000          183.7891        -50.16          0.000
75.755         0.0002          -0.0006         -1.47040        -0.00020        0.0000          183.7707        -50.16          0.000
76.508         0.0002          -0.0006         -1.47010        -0.00020        0.0000          183.7524        -50.16          0.000
77.251         0.0002          -0.0006         -1.46710        -0.00020        0.0000          183.7249        -50.16          0.000
78.005         0.0002          -0.0006         -1.46720        -0.00020        0.0000          183.7157        -50.16          0.000
78.758         0.0002          -0.0006         -1.46480        -0.00020        0.0000          183.6883        -50.16          0.000
79.501         0.0002          -0.0006         -1.45730        -0.00020        0.0000          183.6699        -50.16          0.000
80.254         0.0002          -0.0006         -1.45390        -0.00020        0.0000          183.6516        -50.16          0.000
81.008         0.0002          -0.0006         -1.45330        -0.00020        0.0000          183.6333        -50.16          0.000
81.751         0.0002          -0.0006         -1.45480        -0.00020        0.0000          183.6149        -50.16          0.000
82.504         0.0002          -0.0006         -1.45390        -0.00020        0.0000          183.5966        -50.12          0.000
83.257         0.0002          -0.0006         -1.45730        -0.00020        0.0000          183.5783        -50.12          0.000
84.000         0.0002          -0.0006         -1.45840        -0.00020        0.0000          183.5508        -50.16          0.000
84.753         0.0002          -0.0006         -1.45630        -0.00020        0.0000          183.5416        -50.12          0.000
85.500         0.0002          -0.0006         -1.45050        -0.00020        0.0000          183.5141        -50.16          0.000
86.262         0.0002          -0.0006         -1.44960        -0.00020        0.0000          183.4958        -50.16          0.000
87.010         0.0002          -0.0006         -1.45430        -0.00020        0.0000          183.4775        -50.16          0.000
87.765         0.0002          -0.0006         -1.45410        -0.00020        0.0000          183.4591        -50.16          0.000
88.505         0.0002          -0.0006         -1.45670        -0.00020        0.0000          183.4408        -50.16          0.000
89.265         0.0002          -0.0006         -1.45760        -0.00020        0.0000          183.4225        -50.16          0.000
90.004         0.0002          -0.0006         -1.45470        -0.00020        0.0000          183.4041        -50.16          0.000
90.764         0.0002          -0.0006         -1.45280        -0.00020        0.0000          183.3858        -50.16          0.000
91.515         0.0002          -0.0006         -1.45020        -0.00020        0.0000          183.3767        -50.16          0.000
92.253         0.0002          -0.0006         -1.45240        -0.00020        0.0000          183.3492        -50.16          0.000
93.001         0.0002          -0.0006         -1.45300        -0.00020        0.0000          183.3308        -50.16          0.000
93.759         0.0002          -0.0006         -1.45460        -0.00020        0.0000          183.3033        -50.16          0.000
94.509         0.0002          -0.0006         -1.45790        -0.00020        0.0000          183.2942        -50.16          0.000
95.257         0.0002          -0.0006         -1.45700        -0.00020        0.0000          183.2667        -50.16          0.000
96.004         0.0002          -0.0006         -1.45220        -0.00020        0.0000          183.2483        -50.16          0.000
96.751         0.0002          -0.0006         -1.44910        -0.00020        0.0000          183.2300        -50.16          0.000
97.518         0.0002          -0.0006         -1.45280        -0.00020        0.0000          183.2209        -50.16          0.000
