;Time(s)       Ch0/V           Ch0/V           Ch2/V           Ch3/V           Z_Motor         Beam_current    temperature     Absorbance
;lambda (nm)   110.000
0.000          0.0002          -0.0006         -1.45080        -0.00020        0.0000          181.4887        -50.12          0.000
0.758          0.0002          -0.0006         -1.44940        -0.00020        0.0000          181.4704        -50.16          0.000
1.508          0.0002          -0.0006         -1.45410        -0.00020        0.0000          181.4521        -50.16          0.000
2.270          0.0002          -0.0006         -1.45490        -0.00020        0.0000          181.4337        -50.16          0.000
3.019          0.0002          -0.0006         -1.45590        -0.00020        0.0000          181.4154        -50.12          0.000
3.770          0.0002          -0.0006         -1.45830        -0.00020        0.0000          181.3971        -50.16          0.000
4.510          0.0002          -0.0006         -1.45920        -0.00020        0.0000          181.3787        -50.12          0.000
5.265          0.0002          -0.0006         -1.45740        -0.00020        0.0000          181.3696        -50.12          0.000
6.014          0.0002          -0.0006         -1.45170        -0.00020        0.0000          181.3513        -50.16          0.000
6.765          0.0002          -0.0006         -1.45100        -0.00020        0.0000          181.3238        -50.12          0.000
7.504          0.0002          -0.0006         -1.45540        -0.00020        0.0000          181.3054        -50.12          0.000
8.255          0.0002          -0.0006         -1.45640        -0.00020        0.0000          181.2963        -50.16          0.000
9.015          0.0002          -0.0006         -1.45840        -0.00020        0.0000          181.2779        -50.16          0.000
9.766          0.0002          -0.0006         -1.46030        -0.00020        0.0000          181.2596        -50.16          0.000
10.516         0.0002          -0.0006         -1.45990        -0.00020        0.0000          181.2413        -50.16          0.000
11.256         0.0002          -0.0006         -1.45770        -0.00020        0.0000          181.2321        -50.12          0.000
12.007         0.0002          -0.0006         -1.45190        -0.00020        0.0000          181.2046        -50.16          0.000
12.757         0.0002          -0.0006         -1.45230        -0.00020        0.0000          181.1955        -50.16          0.000
13.507         0.0002          -0.0006         -1.45730        -0.00020        0.0000          181.1680        -50.16          0.000
14.266         0.0002          -0.0006         -1.45800        -0.00020        0.0000          181.1588        -50.16          0.000
15.016         0.0002          -0.0006         -1.46020        -0.00020        0.0000          181.1405        -50.16          0.000
15.756         0.0002          -0.0006         -1.46180        -0.00020        0.0000          181.1221        -50.16          0.000
16.506         0.0002          -0.0006         -1.46140        -0.00020        0.0000          181.1038        -50.12          0.000
