;Time(s)       Ch0/V           Ch0/V           Ch2/V           Ch3/V           Z_Motor         Beam_current    temperature     Absorbance
;lambda (nm)   110.000
0.000          0.0002          -0.0006         -1.44450        -0.00020        0.0000          181.9836        -50.16          0.000
0.751          0.0002          -0.0006         -1.44550        -0.00020        0.0000          181.9745        -50.12          0.000
1.520          0.0002          -0.0006         -1.45000        -0.00020        0.0000          181.9470        -50.16          0.000
2.260          0.0002          -0.0006         -1.45280        -0.00020        0.0000          181.9378        -50.12          0.000
3.020          0.0002          -0.0006         -1.45330        -0.00020        0.0000          181.9195        -50.12          0.000
3.750          0.0002          -0.0006         -1.45180        -0.00020        0.0000          181.8920        -50.16          0.000
4.502          0.0002          -0.0006         -1.44680        -0.00020        0.0000          181.8828        -50.16          0.000
5.250          0.0002          -0.0006         -1.44720        -0.00020        0.0000          181.8553        -50.16          0.000
6.002          0.0002          -0.0006         -1.45020        -0.00020        0.0000          181.8370        -50.16          0.000
6.762          0.0002          -0.0006         -1.44990        -0.00020        0.0000          181.8187        -50.16          0.000
7.511          0.0002          -0.0006         -1.45740        -0.00020        0.0000          181.7912        -50.16          0.000
8.262          0.0002          -0.0006         -1.45820        -0.00020        0.0000          181.7820        -50.16          0.000
9.002          0.0002          -0.0006         -1.45600        -0.00020        0.0000          181.7637        -50.12          0.000
9.753          0.0002          -0.0006         -1.45360        -0.00020        0.0000          181.7362        -50.16          0.000
10.502         0.0002          -0.0006         -1.45210        -0.00020        0.0000          181.7178        -50.16          0.000
11.252         0.0002          -0.0006         -1.45340        -0.00020        0.0000          181.6995        -50.16          0.000
12.013         0.0002          -0.0006         -1.45490        -0.00020        0.0000          181.6812        -50.16          0.000
12.763         0.0002          -0.0006         -1.45870        -0.00020        0.0000          181.6629        -50.12          0.000
13.513         0.0002          -0.0006         -1.46220        -0.00020        0.0000          181.6445        -50.12          0.000
14.253         0.0002          -0.0006         -1.46110        -0.00020        0.0000          181.6262        -50.12          0.000
15.003         0.0002          -0.0006         -1.45620        -0.00020        0.0000          181.6079        -50.16          0.000
15.755         0.0002          -0.0006         -1.45430        -0.00020        0.0000          181.5895        -50.16          0.000
16.505         0.0002          -0.0006         -1.45830        -0.00020        0.0000          181.5712        -50.16          0.000
17.255         0.0002          -0.0006         -1.45750        -0.00020        0.0000          181.5529        -50.16          0.000
18.018         0.0002          -0.0006         -1.46450        -0.00020        0.0000          181.5254        -50.12          0.000
18.758         0.0002          -0.0006         -1.46590        -0.00020        0.0000          181.5071        -50.16          0.000
19.519         0.0002          -0.0006         -1.46430        -0.00020        0.0000          181.4887        -50.16          0.000
20.268         0.0002          -0.0006         -1.46180        -0.00020        0.0000          181.4704        -50.16          0.000
21.008         0.0002          -0.0006         -1.46020        -0.00020        0.0000          181.4521        -50.16          0.000
21.768         0.0002          -0.0006         -1.46220        -0.00020        0.0000          181.4337        -50.16          0.000
22.508         0.0002          -0.0006         -1.46320        -0.00020        0.0000          181.4154        -50.12          0.000
23.258         0.0002          -0.0006         -1.46770        -0.00020        0.0000          181.3971        -50.16          0.000
24.018         0.0002          -0.0006         -1.46940        -0.00020        0.0000          181.3787        -50.16          0.000
24.758         0.0002          -0.0006         -1.46850        -0.00020        0.0000          181.3604        -50.16          0.000
25.508         0.0002          -0.0006         -1.46250        -0.00020        0.0000          181.3421        -50.16          0.000
26.257         0.0002          -0.0006         -1.46280        -0.00020        0.0000          181.3146        -50.16          0.000
27.017         0.0002          -0.0006         -1.46500        -0.00020        0.0000          181.3146        -50.16          0.000
27.758         0.0002          -0.0006         -1.46490        -0.00020        0.0000          181.3054        -50.16          0.000
28.510         0.0002          -0.0006         -1.47090        -0.00020        0.0000          181.2963        -50.16          0.000
29.258         0.0002          -0.0006         -1.47060        -0.00020        0.0000          181.2779        -50.16          0.000
30.009         0.0002          -0.0006         -1.46710        -0.00020        0.0000          181.2504        -50.16          0.000
30.769         0.0002          -0.0006         -1.46310        -0.00020        0.0000          181.2413        -50.12          0.000
31.509         0.0002          -0.0006         -1.46470        -0.00020        0.0000          181.2229        -50.12          0.000
32.258         0.0002          -0.0006         -1.46430        -0.00020        0.0000          181.2046        -50.16          0.000
33.008         0.0002          -0.0006         -1.46780        -0.00020        0.0000          181.1863        -50.12          0.000
33.758         0.0002          -0.0006         -1.46920        -0.00020        0.0000          181.1680        -50.16          0.000
34.508         0.0002          -0.0006         -1.46690        -0.00020        0.0000          181.1496        -50.16          0.000
35.259         0.0002          -0.0006         -1.46460        -0.00020        0.0000          181.1221        -50.16          0.000
36.001         0.0002          -0.0006         -1.45930        -0.00020        0.0000          181.1038        -50.16          0.000
36.761         0.0002          -0.0006         -1.46170        -0.00020        0.0000          181.0855        -50.12          0.000
37.511         0.0002          -0.0006         -1.46050        -0.00020        0.0000          181.0580        -50.12          0.000
38.262         0.0002          -0.0006         -1.46430        -0.00020        0.0000          181.0488        -50.16          0.000
39.002         0.0002          -0.0006         -1.46510        -0.00020        0.0000          181.0305        -50.16          0.000
39.762         0.0002          -0.0006         -1.46220        -0.00020        0.0000          181.0122        -50.12          0.000
40.512         0.0002          -0.0006         -1.45580        -0.00020        0.0000          180.9938        -50.16          0.000
41.262         0.0002          -0.0006         -1.45530        -0.00020        0.0000          180.9755        -50.16          0.000
42.012         0.0002          -0.0006         -1.45640        -0.00020        0.0000          180.9480        -50.12          0.000
42.763         0.0002          -0.0006         -1.45630        -0.00020        0.0000          180.9297        -50.16          0.000
43.513         0.0002          -0.0006         -1.46000        -0.00020        0.0000          180.9205        -50.16          0.000
44.263         0.0002          -0.0006         -1.45920        -0.00020        0.0000          180.9022        -50.12          0.000
45.003         0.0002          -0.0006         -1.45240        -0.00020        0.0000          180.8747        -50.12          0.000
45.754         0.0002          -0.0006         -1.44860        -0.00020        0.0000          180.8655        -50.16          0.000
46.513         0.0002          -0.0006         -1.45080        -0.00020        0.0000          180.8472        -50.16          0.000
47.264         0.0002          -0.0006         -1.44920        -0.00020        0.0000          180.8289        -50.16          0.000
48.005         0.0002          -0.0006         -1.45520        -0.00020        0.0000          180.8105        -50.16          0.000
48.765         0.0002          -0.0006         -1.45730        -0.00020        0.0000          180.7830        -50.16          0.000
49.504         0.0002          -0.0006         -1.45210        -0.00020        0.0000          180.7647        -50.16          0.000
50.265         0.0002          -0.0006         -1.44950        -0.00020        0.0000          180.7464        -50.12          0.000
51.004         0.0002          -0.0006         -1.44900        -0.00020        0.0000          180.7281        -50.16          0.000
51.766         0.0002          -0.0006         -1.45080        -0.00020        0.0000          180.7097        -50.16          0.000
52.505         0.0002          -0.0006         -1.45410        -0.00020        0.0000          180.6914        -50.16          0.000
53.265         0.0002          -0.0006         -1.45630        -0.00020        0.0000          180.6731        -50.16          0.000
