;Time(s)       Ch0/V           Ch0/V           Ch2/V           Ch3/V           Z_Motor         Beam_current    temperature     Absorbance
;lambda (nm)   110.000
0.000          0.0002          -0.0006         -1.50330        -0.00020        0.0000          183.9357        -50.12          0.000
0.759          0.0002          -0.0006         -1.49650        -0.00020        0.0000          183.9082        -50.16          0.000
1.518          0.0002          -0.0006         -1.49650        -0.00020        0.0000          183.8990        -50.16          0.000
2.268          0.0002          -0.0006         -1.50050        -0.00020        0.0000          183.8715        -50.16          0.000
3.010          0.0002          -0.0006         -1.50000        -0.00020        0.0000          183.8532        -50.16          0.000
3.758          0.0002          -0.0006         -1.50670        -0.00020        0.0000          183.8349        -50.16          0.000
4.508          0.0002          -0.0006         -1.50750        -0.00020        0.0000          183.8166        -50.16          0.000
5.268          0.0002          -0.0006         -1.50370        -0.00020        0.0000          183.7982        -50.12          0.000
6.019          0.0002          -0.0006         -1.50110        -0.00020        0.0000          183.7799        -50.16          0.000
6.759          0.0002          -0.0006         -1.50140        -0.00020        0.0000          183.7524        -50.16          0.000
7.500          0.0002          -0.0006         -1.50320        -0.00020        0.0000          183.7432        -50.16          0.000
8.270          0.0002          -0.0006         -1.50580        -0.00020        0.0000          183.7249        -50.12          0.000
9.000          0.0002          -0.0006         -1.50860        -0.00020        0.0000          183.7066        -50.16          0.000
9.770          0.0002          -0.0006         -1.51000        -0.00020        0.0000          183.6791        -50.16          0.000
10.506         0.0002          -0.0006         -1.50770        -0.00020        0.0000          183.6699        -50.16          0.000
11.257         0.0002          -0.0006         -1.50170        -0.00020        0.0000          183.6516        -50.12          0.000
12.008         0.0002          -0.0006         -1.50380        -0.00020        0.0000          183.6333        -50.16          0.000
12.752         0.0002          -0.0006         -1.50470        -0.00020        0.0000          183.6149        -50.16          0.000
13.500         0.0002          -0.0006         -1.50630        -0.00020        0.0000          183.5966        -50.12          0.000
14.253         0.0002          -0.0006         -1.51270        -0.00020        0.0000          183.5691        -50.16          0.000
15.006         0.0002          -0.0006         -1.51260        -0.00020        0.0000          183.5508        -50.16          0.000
15.759         0.0002          -0.0006         -1.51260        -0.00020        0.0000          183.5325        -50.16          0.000
16.514         0.0002          -0.0006         -1.51260        -0.00020        0.0000          183.5141        -50.16          0.000
17.265         0.0002          -0.0006         -1.50810        -0.00020        0.0000          183.4958        -50.16          0.000
18.004         0.0002          -0.0006         -1.50930        -0.00020        0.0000          183.4683        -50.12          0.000
18.755         0.0002          -0.0006         -1.51300        -0.00020        0.0000          183.4591        -50.16          0.000
19.516         0.0002          -0.0006         -1.51560        -0.00020        0.0000          183.4408        -50.16          0.000
20.256         0.0002          -0.0006         -1.51440        -0.00020        0.0000          183.4225        -50.16          0.000
21.007         0.0002          -0.0006         -1.51160        -0.00020        0.0000          183.4041        -50.16          0.000
21.768         0.0002          -0.0006         -1.50860        -0.00020        0.0000          183.3950        -50.16          0.000
22.518         0.0002          -0.0006         -1.51100        -0.00020        0.0000          183.3675        -50.16          0.000
23.258         0.0002          -0.0006         -1.51150        -0.00020        0.0000          183.3492        -50.16          0.000
24.008         0.0002          -0.0006         -1.51610        -0.00020        0.0000          183.3400        -50.16          0.000
24.768         0.0002          -0.0006         -1.51830        -0.00020        0.0000          183.3125        -50.12          0.000
25.508         0.0002          -0.0006         -1.51700        -0.00020        0.0000          183.2850        -50.16          0.000
26.268         0.0002          -0.0006         -1.51130        -0.00020        0.0000          183.2758        -50.16          0.000
27.008         0.0002          -0.0006         -1.51010        -0.00020        0.0000          183.2483        -50.16          0.000
27.753         0.0002          -0.0006         -1.51460        -0.00020        0.0000          183.2392        -50.16          0.000
28.504         0.0002          -0.0006         -1.51390        -0.00020        0.0000          183.2209        -50.12          0.000
29.254         0.0002          -0.0006         -1.51990        -0.00020        0.0000          183.1934        -50.16          0.000
30.014         0.0002          -0.0006         -1.52100        -0.00020        0.0000          183.1750        -50.16          0.000
30.753         0.0002          -0.0006         -1.51710        -0.00020        0.0000          183.1659        -50.12          0.000
31.513         0.0002          -0.0006         -1.51320        -0.00020        0.0000          183.1384        -50.16          0.000
32.264         0.0002          -0.0006         -1.51600        -0.00020        0.0000          183.1200        -50.12          0.000
33.005         0.0002          -0.0006         -1.51720        -0.00020        0.0000          183.1017        -50.16          0.000
33.753         0.0002          -0.0006         -1.52030        -0.00020        0.0000          183.0834        -50.16          0.000
34.514         0.0002          -0.0006         -1.52320        -0.00020        0.0000          183.0651        -50.12          0.000
35.254         0.0002          -0.0006         -1.52230        -0.00020        0.0000          183.0467        -50.16          0.000
36.016         0.0002          -0.0006         -1.51910        -0.00020        0.0000          183.0284        -50.16          0.000
36.755         0.0002          -0.0006         -1.51530        -0.00020        0.0000          183.0101        -50.16          0.000
37.515         0.0002          -0.0006         -1.51810        -0.00020        0.0000          182.9917        -50.16          0.000
38.265         0.0002          -0.0006         -1.51780        -0.00020        0.0000          182.9734        -50.16          0.000
39.017         0.0002          -0.0006         -1.52210        -0.00020        0.0000          182.9551        -50.12          0.000
39.756         0.0002          -0.0006         -1.52470        -0.00020        0.0000          182.9367        -50.16          0.000
40.516         0.0002          -0.0006         -1.52270        -0.00020        0.0000          182.9184        -50.16          0.000
41.267         0.0002          -0.0006         -1.51620        -0.00020        0.0000          182.9001        -50.16          0.000
42.018         0.0002          -0.0006         -1.51600        -0.00020        0.0000          182.8818        -50.12          0.000
42.769         0.0002          -0.0006         -1.51850        -0.00020        0.0000          182.8634        -50.16          0.000
43.519         0.0002          -0.0006         -1.51760        -0.00020        0.0000          182.8451        -50.16          0.000
44.269         0.0002          -0.0006         -1.52380        -0.00020        0.0000          182.8268        -50.16          0.000
45.008         0.0002          -0.0006         -1.52330        -0.00020        0.0000          182.8084        -50.16          0.000
45.768         0.0002          -0.0006         -1.51800        -0.00020        0.0000          182.7901        -50.16          0.000
46.519         0.0002          -0.0006         -1.51440        -0.00020        0.0000          182.7718        -50.16          0.000
47.259         0.0002          -0.0006         -1.51640        -0.00020        0.0000          182.7535        -50.16          0.000
48.009         0.0002          -0.0006         -1.51670        -0.00020        0.0000          182.7351        -50.12          0.000
48.768         0.0002          -0.0006         -1.52080        -0.00020        0.0000          182.7168        -50.12          0.000
49.509         0.0002          -0.0006         -1.52280        -0.00020        0.0000          182.6985        -50.16          0.000
50.259         0.0002          -0.0006         -1.51980        -0.00020        0.0000          182.6710        -50.16          0.000
51.009         0.0002          -0.0006         -1.51670        -0.00020        0.0000          182.6526        -50.16          0.000
51.770         0.0002          -0.0006         -1.51440        -0.00020        0.0000          182.6343        -50.16          0.000
52.510         0.0002          -0.0006         -1.51630        -0.00020        0.0000          182.6160        -50.16          0.000
53.261         0.0002          -0.0006         -1.51690        -0.00020        0.0000          182.5977        -50.16          0.000
54.012         0.0002          -0.0006         -1.52150        -0.00020        0.0000          182.5793        -50.16          0.000
54.753         0.0002          -0.0006         -1.52230        -0.00020        0.0000          182.5610        -50.16          0.000
55.513         0.0002          -0.0006         -1.52040        -0.00020        0.0000          182.5427        -50.16          0.000
56.263         0.0002          -0.0006         -1.51450        -0.00020        0.0000          182.5243        -50.16          0.000
57.002         0.0002          -0.0006         -1.51630        -0.00020        0.0000          182.5060        -50.16          0.000
57.753         0.0002          -0.0006         -1.51820        -0.00020        0.0000          182.4968        -50.16          0.000
58.503         0.0002          -0.0006         -1.51890        -0.00020        0.0000          182.4785        -50.16          0.000
59.253         0.0002          -0.0006         -1.52490        -0.00020        0.0000          182.4510        -50.16          0.000
60.013         0.0002          -0.0006         -0.21660        -0.00020        0.0000          182.4419        -50.16          0.000
60.753         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.4144        -50.16          0.000
61.513         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.4052        -50.16          0.000
62.254         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.3777        -50.16          0.000
63.004         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.3594        -50.16          0.000
63.754         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.3410        -50.16          0.000
64.505         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.3227        -50.16          0.000
65.265         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.3044        -50.12          0.000
66.005         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.2861        -50.16          0.000
66.755         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.2677        -50.16          0.000
67.505         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.2494        -50.16          0.000
68.254         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.2311        -50.16          0.000
69.015         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.2127        -50.16          0.000
69.757         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.1852        -50.12          0.000
70.516         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.1761        -50.16          0.000
71.276         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.1577        -50.16          0.000
72.016         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.1394        -50.12          0.000
72.766         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.1211        -50.16          0.000
73.516         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.0936        -50.16          0.000
74.256         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.0844        -50.16          0.000
75.016         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.0569        -50.16          0.000
75.768         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.0386        -50.12          0.000
76.518         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.0294        -50.16          0.000
77.259         0.0002          -0.0006         0.00050         -0.00020        0.0000          182.0111        -50.12          0.000
78.009         0.0002          -0.0006         0.00050         -0.00020        0.0000          181.9928        -50.16          0.000
78.769         0.0002          -0.0006         0.00050         -0.00020        0.0000          181.9653        -50.16          0.000
