weight,y,sigma_y,Temperature,sigma_T,Observed_field
1.000000000000000000e+00,3.430184640254535744e-05,3.430184640254535913e-06,1.275000000000000000e+02,1.000000000000000000e+00,2.234592399829933885e+06
1.000000000000000000e+00,3.333125389237848537e-05,3.333125389237848537e-06,1.300000000000000000e+02,1.000000000000000000e+00,2.171363189918078948e+06
1.000000000000000000e+00,3.142076218301885460e-05,3.142076218301885799e-06,1.350000000000000000e+02,1.000000000000000000e+00,2.046904284599316306e+06
1.000000000000000000e+00,2.885683841570866134e-05,2.885683841570866219e-06,1.375000000000000000e+02,1.000000000000000000e+00,1.879877574231050210e+06
1.000000000000000000e+00,2.635414523146896665e-05,2.635414523146896750e-06,1.400000000000000000e+02,1.000000000000000000e+00,1.716839727726285812e+06
