weight,y,sigma_y,Temperature,sigma_T,Observed_field
1.000000000000000000e+00,1.314002346856753822e-01,1.314002346856753961e-02,5.500000000000000000e+01,5.500000000000000000e+00,4.214622261204586029e+08
1.000000000000000000e+00,1.337294936215514818e-01,1.337294936215514818e-02,6.000000000000000000e+01,6.000000000000000000e+00,4.289332527793807983e+08
1.000000000000000000e+00,1.249808922766174751e-01,1.249808922766174751e-02,6.500000000000000000e+01,6.500000000000000000e+00,4.008723820579810143e+08
1.000000000000000000e+00,1.171952083176853593e-01,1.171952083176853662e-02,7.000000000000000000e+01,7.000000000000000000e+00,3.759000393445048928e+08
1.000000000000000000e+00,7.896233693805983223e-02,7.896233693805983916e-03,7.250000000000000000e+01,7.250000000000000000e+00,2.532692760039369762e+08
1.000000000000000000e+00,7.894707552554142138e-02,7.894707552554142138e-03,7.500000000000000000e+01,7.500000000000000000e+00,2.532203254909554720e+08
1.000000000000000000e+00,3.948754064683939607e-02,3.948754064683940128e-03,7.750000000000000000e+01,7.750000000000000000e+00,1.266550765670231283e+08
1.000000000000000000e+00,2.616203663097775231e-02,2.616203663097775578e-03,8.000000000000000000e+01,8.000000000000000000e+00,8.391393078340445459e+07
