weight,y,sigma_y,calc_y,Temperature,sigma_T,Observed_field,Calc_field,DE_eV
1,-5.836145723273779e-05,5.836145723273778e-07,-5.835552019561874e-05,127.5,1,3801954.780963538,3801568.012919527,0.16619890999999853
1,-5.809740430106301e-05,5.809740430106302e-07,-5.817288092657691e-05,130.0,1,3784753.063364115,3789669.9850934544,0.160605949999999
1,-5.7543721605532016e-05,5.754372160553202e-07,-5.744888403569348e-05,135.0,1,3748683.4264628966,3742505.236795276,0.14989209999999886
1,-5.7093404011320625e-05,5.709340401132063e-07,-5.70891861570999e-05,137.5,1,3719347.504924193,3719072.732980855,0.14205048999999903
1,-5.602498790974152e-05,5.602498790974152e-07,-5.6052865147648845e-05,140.0,1,3649745.5810164656,3651561.642557204,0.12594894999999973
