wavelength,absorbance,absorbance_bk,residual_3gauss
117.0,0.13272332081074728,0.12889818621621782,-0.003439120162823106
117.5,0.13255054486309306,0.1287254102685636,-0.002680411724614473
118.0,0.13312348178247255,0.12929834718794309,-0.0010086819325827723
118.5,0.13082969461303143,0.12700456001850197,-0.0020452140263814977
119.0,0.13028909270703462,0.12646395811250516,-0.0011792961798235413
119.5,0.1294451256838112,0.12561999108928174,-0.0004769789219085385
120.0,0.13013761066442422,0.12631247606989476,0.0018917872734701136
120.5,0.12996066870627543,0.12613553411174597,0.003511106572065492
121.0,0.1275362444131875,0.12371110981865803,0.002992654473081058
121.5,0.12547439128267548,0.12164925668814601,0.00293593478217892
122.0,0.12374541840708277,0.11992028381255329,0.003300367949573571
122.5,0.12084088397860332,0.11701574938407384,0.00256619189073351
123.0,0.11813681042362709,0.11431167582909761,0.0020975464558771334
123.5,0.1150319093671972,0.11120677477266773,0.0012805273743721896
124.0,0.11187557585821983,0.10805044126369036,0.00045096874234362705
124.5,0.1096054011127622,0.10578026651823272,0.0005317057624237842
125.0,0.10636179281078927,0.10253665821625979,-0.00035308715520294964
125.5,0.10365475166894764,0.09982961707441816,-0.0007114237870120832
126.0,0.10099796872674048,0.097172834132211,-0.0010497192472350425
126.5,0.09811328214268598,0.09428814754815651,-0.0016686296934196737
127.0,0.0957887371258085,0.09196360253127903,-0.0018052496471946816
127.5,0.09413322183721635,0.09030808724268688,-0.0013786645846407125
128.0,0.0918707790109698,0.08804564441644032,-0.0016957266218302208
128.5,0.09037164499046664,0.08654651039593717,-0.0014199681194009273
129.0,0.08911685047712188,0.0852917158825924,-0.001106786754698011
129.5,0.08807427169424258,0.0842491370997131,-0.0008269853042267294
130.0,0.08665320684588605,0.08282807225135658,-0.0012115702820947871
130.5,0.08676255067543896,0.08293741608090949,-0.0003927256734074236
131.0,0.08693847818863441,0.08311334359410494,0.00012494762374992696
131.5,0.08719728071346422,0.08337214611893475,0.00031855350271524363
132.0,0.08720011154607998,0.08337497695155051,-0.00018689133264131186
132.5,0.0886568017732644,0.08483166717873493,0.0002869496839429664
133.0,0.0904297898298831,0.08660465523535363,0.0005773201608791079
133.5,0.09208263589060572,0.08825750129607625,0.00023053456276463102
134.0,0.0945248330609638,0.09069969846643433,0.00014834753779557897
134.5,0.09743765412789576,0.09361251953336629,1.5180551985974344e-05
135.0,0.10056364366844998,0.09673850907392051,-0.0004112699328442382
135.5,0.10406224453884828,0.10023710994431881,-0.0009436322935677255
136.0,0.10866554838991332,0.10484041379538385,-0.0008087440976780186
136.5,0.11334992021440626,0.10952478561987679,-0.0009761198135576216
137.0,0.11829610853569894,0.11447097394116947,-0.0011984179024582403
137.5,0.12396761335439284,0.12014247875986336,-0.0009341389848871451
138.0,0.12987348448926803,0.12604834989473856,-0.0005863613545829538
138.2,0.13294283490715003,0.12911770031262057,0.00023875025293182417
138.4,0.13549774803100886,0.1316726134364794,0.0005469638866054671
138.6,0.1380841956914735,0.13425906109694405,0.0008907851682351808
138.8,0.1400540938106452,0.13622895921611575,0.0006287555890927277
139.0,0.14270053416221587,0.1388753995676864,0.0010606566599359046
139.2,0.1448176623203962,0.14099252772586673,0.0009873596337966473
139.4,0.14693397868167798,0.14310884408714852,0.0009440978613232398
139.6,0.14929014219523132,0.14546500760070186,0.0011782415921800793
139.8,0.15155343866029947,0.14772830406577,0.001363737258637726
140.0,0.15339653526120792,0.14957140066667846,0.0011798330878936836
140.2,0.1553602363338642,0.15153510173933474,0.0011738062090697887
140.4,0.1573683131971302,0.15354317860260075,0.0012757642545920822
140.6,0.15837548570977356,0.1545503511152441,0.0004465992752699377
140.8,0.1599451497065763,0.15612001511204684,0.00025568827169869524
141.0,0.16163068472207373,0.15780555012754427,0.00026217488818369716
141.2,0.1627194326214109,0.15889429802688143,-0.0002410769866059148
141.4,0.1638905269998994,0.16006539240536993,-0.0005696777403805253
141.6,0.16560275633338667,0.1617776217388572,-0.0002598716026867287
141.8,0.16662769081806839,0.16280255622353892,-0.0005354312385416893
142.0,0.16736424974063768,0.16353911514610822,-0.0009931104687525005
142.2,0.16840914251336503,0.16458400791883557,-0.0010322219392773224
142.4,0.16945017321520395,0.1656250386206745,-0.0009613498727888414
142.6,0.1703240684071592,0.16649893381262973,-0.0009405381250185973
142.8,0.17132099405184964,0.16749585945732018,-0.0006767877219674978
143.0,0.17175755747018223,0.16793242287565277,-0.0008510679642980135
143.2,0.1723087395739956,0.16848360497946613,-0.0007863958898431667
143.4,0.17297028563708444,0.16914515104255498,-0.0004854558688025534
143.6,0.17312427094189817,0.1692991363473687,-0.0005650430344754653
143.8,0.17361268467312083,0.16978755007859136,-0.0001824872169295666
144.0,0.17329988683003855,0.1694747522355091,-0.00047320263951372565
144.2,0.17342981992558806,0.1696046853310586,-0.00019348162964319404
144.4,0.17327713405790715,0.1694519994633777,-6.937375886964525e-05
144.6,0.17298461016082253,0.16915947556629307,4.073441790922172e-05
144.8,0.17229808889939324,0.16847295430486378,-0.00011895345565188231
145.0,0.1717620850703351,0.16793695047580565,-6.029484592079415e-06
145.2,0.1713944880011263,0.16756935340659684,0.0003948200250420697
145.4,0.17003510008931805,0.1662099654947886,-7.964407568530896e-05
145.6,0.1689932247345242,0.16516809013999473,-0.0001236211380988006
145.8,0.1680902324984074,0.16426509790387794,8.030230711705832e-05
146.0,0.16741079771315368,0.1635856631186242,0.0006123984837222984
146.2,0.16598927539586775,0.16216414080133829,0.0005021874176419916
146.4,0.16470546732632999,0.16088033273180052,0.0006242183319336292
