wavelength,absorbance,absorbance_bk,residual_3gauss,Gauss_1,Gauss_2,Gauss_3,Gauss_4,Gauss_fit
117.0,0.5632597300466733,0.5660688459899959,-0.0009828340613619035,2.6393442041888654e-07,5.343912052458748e-29,0.5670514161169373,2.010636221205909e-59,0.5670516800513578
117.5,0.5519357731836094,0.554744889126932,-0.008449311029419038,5.040852860568629e-07,4.560753153134928e-28,0.563193696071065,3.6672458139248446e-58,0.563194200156351
118.0,0.5487292421073556,0.5515383580506782,-0.007115335643670506,9.435429334471741e-07,3.6847617178606526e-27,0.5586527501514152,6.319890625985314e-57,0.5586536936943487
118.5,0.5464734374104102,0.5492825533537328,-0.004182886956930809,1.731649576592796e-06,2.82149789258224e-26,0.553463708661087,1.0302196476606584e-55,0.5534654403106636
119.0,0.5430324303933755,0.545841546336698,-0.00182442967368035,3.117349842009692e-06,2.0499234472584305e-25,0.5476628586605363,1.5902938641960895e-54,0.5476659760103784
119.5,0.5409694867046505,0.5437786026479731,0.0024857289394283333,5.507066500015582e-06,1.4146916244314775e-24,0.5412873666420447,2.327115541276865e-53,0.5412928737085447
120.0,0.5375211240054013,0.5403302399487239,0.0059456750294740734,9.550851426613251e-06,9.283668301166436e-24,0.5343750140678232,3.23151872610803e-52,0.5343845649192498
120.5,0.5296371655997457,0.5324462815430683,0.00546606679551076,1.6267634222131263e-05,5.799195326998329e-23,0.5269639471133354,4.2627361364151354e-51,0.5269802147475575
121.0,0.5257348468711519,0.5285439628144745,0.009424298088207439,2.7223045935612586e-05,3.4518519530822e-22,0.5190924416803314,5.346851586289292e-50,0.519119664726267
121.5,0.5162318463899894,0.519040962333312,0.00819750192916302,4.4775921562424155e-05,1.959785762763842e-21,0.5107986844825866,6.383528791564121e-49,0.510843460404149
122.0,0.5070535028914017,0.5098626188347243,0.007669636249693634,7.24118216946838e-05,1.0623380303370355e-20,0.5021205707633359,7.260928061948452e-48,0.5021929825850306
122.5,0.49700259661789137,0.4998117125612139,0.00660101031559257,0.00011518326726458137,5.503392215945251e-20,0.49309551897835674,7.875867814634102e-47,0.4932107022456213
123.0,0.48860289516917127,0.4914120111124938,0.007471432302517789,0.00018027623657485573,2.7272076579515013e-19,0.48376030257340114,8.154118326446055e-46,0.483940578809976
123.5,0.47747959216481745,0.48028870810813995,0.005860089177198435,0.00027772013112063254,1.2939666790609702e-18,0.47415089879982086,8.065224381855669e-45,0.4744286189309415
124.0,0.46626413444813686,0.46907325039145936,0.004349642884629301,0.0004212531589943679,5.883465812361311e-18,0.4643023543478357,7.627755077076875e-44,0.46472360750683006
124.5,0.4547725666724165,0.457581682615739,0.0027036689080484066,0.0006293462749876761,2.5658304504586912e-17,0.4542486674327029,6.903820753404887e-43,0.4548780137076906
125.0,0.4416734355296464,0.4444825514729689,-0.000466510392950259,0.0009263760211932037,1.0741823580983419e-16,0.4440226858447258,5.984918848352193e-42,0.44494906186591915
125.5,0.4295107367460992,0.4323198526894217,-0.0026800874171570843,0.001343919737903111,4.320617627496362e-16,0.43365602036867523,4.973459646746047e-41,0.4349999401065788
126.0,0.4182832106500914,0.4210923265934139,-0.004008772340790723,0.001922126043166676,1.6710355761719036e-15,0.4231789728910363,3.964955879421174e-40,0.4251010989342046
126.5,0.4064679696043289,0.4092770855476514,-0.006054483069254379,0.002711090173485991,6.219335283703003e-15,0.4126204784434136,3.034854452620998e-39,0.4153315686169058
127.0,0.3959226799817831,0.3987317959251056,-0.007048403789632229,0.0037721393384692456,2.2292526991264667e-14,0.4020080603762463,2.231978975128217e-38,0.40578019971473783
127.5,0.38628717248961314,0.38909628843293564,-0.007450419273105746,0.005178909888429793,7.701278156034321e-14,0.39136779781753456,1.5784137851569265e-37,0.3965467077060414
128.0,0.37686941802517376,0.37967853396849627,-0.008063849130806544,0.007018078553875284,2.5661277990579303e-13,0.3807243045451709,1.074110573102522e-36,0.3877423830993028
128.5,0.36910270445789367,0.3719118204012162,-0.0075784953042250525,0.009389597317081428,8.253199673484428e-13,0.3701007183875345,7.038603352883067e-36,0.37949031570544123
129.0,0.3626258880644326,0.3654350040077551,-0.006489974905063034,0.01240627864648443,2.563921280199507e-12,0.35951870026376975,4.4446619477929487e-35,0.3719249789128181
129.5,0.3564279188393556,0.3592370347826781,-0.005953994733646384,0.01619258752706964,7.698890687154356e-12,0.34899844198155594,2.7064786590515047e-34,0.3651910295163245
130.0,0.35237165826386657,0.3551807742071891,-0.004260428597563759,0.020882520857623037,2.2360885204617007e-11,0.3385586819247689,1.590291256297613e-33,0.35944120280475284
130.5,0.34903707425091035,0.35184619019423286,-0.00298703178395221,0.026616494130166857,6.286037692309047e-11,0.3282167277851578,9.02279979827075e-33,0.35483322197818506
131.0,0.3472921333042618,0.3501012492475843,-0.0014244456450100973,0.03353720920156876,1.7114948406235955e-10,0.31798848551987613,4.94628266332405e-32,0.3515256948925944
131.5,0.3461433422467816,0.3489524581901041,-0.0007205791701984099,0.04178454315938645,4.516085541945756e-10,0.30788849374930755,2.621585349467375e-31,0.34967303736030253
132.0,0.34643297468231943,0.34924209062564193,-0.00017744630096738767,0.051489572924766074,1.15560126150702e-09,0.297929962846242,1.3442043591332911e-30,0.3494195369266093
132.5,0.3491147487107887,0.3519238646541112,0.0010311157065060472,0.06276792807122139,2.869317574086141e-09,0.2881248180070662,6.671845774043092e-30,0.35089274894760514
133.0,0.35285270889032466,0.35566182483364717,0.001465333188256257,0.0757127390906057,6.91725469549063e-09,0.27848374563753053,3.207478924346493e-29,0.3541964916453909
133.5,0.3578349463927643,0.3606440623360868,0.001240290463868421,0.09038751324269999,1.6200471666596143e-08,0.26901624242904676,1.4944146622550014e-28,0.3594037718722184
134.0,0.3653308582362884,0.3681399741796109,0.0015899521699155872,0.10681931858245618,3.688154178084388e-08,0.2597306665456974,6.751730561681307e-28,0.36655002200969533
134.5,0.3743370043160344,0.3771461202593569,0.001519065190473401,0.12499268301993684,8.166227320918599e-08,0.25063429038667345,2.959632980344864e-27,0.3756270550688835
135.0,0.3850886768658024,0.3878977928091249,0.001319647339501906,0.14484461508088717,1.7595562231695356e-07,0.24173335443311353,1.259437221160518e-26,0.386578145469623
135.5,0.3967662295235752,0.3995753454668977,0.0002807304250126985,0.16626112417309835,3.691368194553486e-07,0.2330331217319672,5.205511321081075e-26,0.399294615041885
136.0,0.40993234903541115,0.41274146497873365,-0.0008727827970124724,0.18907556076236298,7.544013155146316e-07,0.22453793261206761,2.090865208793031e-25,0.4136142477757461
136.5,0.4250459680824931,0.4278550840258156,-0.0014666914722274438,0.2130690135306361,1.5026985592262963e-06,0.21625125926884775,8.165586657619657e-25,0.42932177549804307
137.0,0.44216470988214335,0.44497382582546585,-0.001177749201584699,0.2379728962651131,2.918868142084319e-06,0.2081757598937954,3.1021721666744357e-24,0.44615157502705055
137.5,0.46009297605774246,0.46290209200106497,-0.0008905103733404252,0.2634737387918641,5.531519946107465e-06,0.20031333206259522,1.147032114897344e-23,0.4637926023744054
138.0,0.47934418056979133,0.48215329651311384,0.00025782715688255076,0.2892200719627141,1.023226168064044e-05,0.19266516513183657,4.129772767566436e-23,0.4818954693562313
138.5,0.4988727011400344,0.5016818170833569,0.0016003660189561897,0.3148311754081904,1.848422818157598e-05,0.1852317914280288,1.448515508700992e-22,0.5000814510644007
139.0,0.5180383311860657,0.5208474471293882,0.0028943400619532156,0.33990734721592025,3.2623807094475185e-05,0.17801313604442026,4.951855525878752e-22,0.517953107067435
139.5,0.5361110770815454,0.5389201930248679,0.0038140813515771255,0.3640412647102365,5.628187234882237e-05,0.17100856509070547,1.6506614069085867e-21,0.5351061116732908
140.0,0.551827585449051,0.5546367013923735,0.0034948775701755252,0.3868299413550925,9.495019900091875e-05,0.16421693226810458,5.367681228767919e-21,0.551141823822198
140.5,0.5656810632948934,0.568490179238216,0.002810091703619344,0.40788675067373775,0.00015671319328108707,0.15763662366757777,1.7035063609204346e-20,0.5656800875345966
141.0,0.5760511755811767,0.5788602915244992,0.0004885522847567492,0.4268529858139595,0.0002531527137335993,0.1512656007120494,5.278554595663468e-20,0.5783717392397425
141.5,0.583612426434873,0.5864215423781955,-0.002488764213354755,0.4434084524024328,0.0004004130045258341,0.1451014411845917,1.5976539606711166e-19,0.5889103065915503
142.0,0.5904377045995656,0.5932468205428881,-0.0037955904426200116,0.4572806497707987,0.0006203829111230125,0.13914137830358642,4.725257908855713e-19,0.5970424109855081
142.5,0.5952291627783616,0.5980382787216841,-0.004538150200866897,0.4682521767161483,0.00094191438340391,0.1333823378229988,1.3662134656434465e-18,0.602576428922551
143.0,0.5979880702573122,0.6007971862006347,-0.004591835994247839,0.47616609645556324,0.0014019525880766077,0.12782097315124274,3.863078947114399e-18,0.6053890221948826
143.5,0.5989458680222403,0.6017549839655628,-0.0036742276508426874,0.4809291042604015,0.002046408860367617,0.12245369849563636,1.0686585681468335e-17,0.6054292116164055
144.0,0.5975915241288908,0.6004006400722134,-0.0023191035819974948,0.48251245306274965,0.0029305705400437306,0.11727672005141747,2.8933424976325183e-17,0.6027197436542109
144.5,0.5939990853480209,0.5968082012913435,-0.0005473843925535293,0.4809507000822094,0.0041188203370447485,0.11228606526464278,7.669695600076164e-17,0.597355585683897
145.0,0.587861177361444,0.5906702933047666,0.0011708066105825532,0.4763384350079559,0.005683441478955073,0.10747761020727285,1.9912812932431424e-16,0.5894994866941841
145.5,0.5790941584601126,0.5819032744034351,0.0025286154513001202,0.4688252324705054,0.007702321371267619,0.10284710511036149,5.065461796487298e-16,0.579374658952135
146.0,0.5687808237860595,0.5715899397293821,0.004335166318528261,0.4586091348809867,0.010255440422198418,0.09839019810766748,1.2629616672634165e-15,0.5672547734108538
146.5,0.5554841069396966,0.5582932228830192,0.004841607926941771,0.4459290141934679,0.013420143515319626,0.09410245724728679,3.087420725765429e-15,0.5534516149560774
147.0,0.5396324984981236,0.5424416144414461,0.004140708844027063,0.43105618228397896,0.017265332480294954,0.08997939083313775,7.402577254828585e-15,0.538300905597419
147.5,0.5220728902986264,0.5248820062419489,0.0027350443976574823,0.4142856203612996,0.021844875321520407,0.08601646616145393,1.7413887628965634e-14,0.5221469618442914
148.0,0.5028393863407873,0.5056485022841098,0.0003215125749297387,0.3959271802220429,0.027190682767194524,0.08220912671990253,4.020458786793003e-14,0.5053269897091801
148.5,0.48433984459573426,0.48714896053905676,-0.0010069569212431961,0.376297077213295,0.03330603232826237,0.07855280791865152,9.112999228628251e-14,0.48815591746029996
149.0,0.4668371749854566,0.46964629092877913,-0.0012664123096506885,0.355709950019528,0.040159801794943,0.07504295142375599,2.0285654714116301e-13,0.4709127032384298
149.5,0.45006711536591704,0.45287623130923954,-0.0009527854201878405,0.334471709656879,0.047682288908453205,0.07167501816365159,4.436007506023914e-13,0.4538290167294274
150.0,0.4327788164145809,0.4355879323579034,-0.0014931409834939569,0.3128733431237754,0.05576323013719977,0.06844450007946894,9.532397114941715e-13,0.43708107334139734
150.5,0.4166373885866032,0.4194465045299257,-0.0013386932306714838,0.29118577954247227,0.06425248752679982,0.06534693068931162,2.0134794439772973e-12,0.4207851977605972
151.0,0.39982108345828093,0.40263019940160344,-0.002367224955870273,0.26965587140033465,0.07296365841725747,0.062377894535699877,4.181707960941821e-12,0.4049974243574737
151.5,0.3837870802328519,0.3865961961761744,-0.0031209318505080463,0.24850349315321785,0.08168059928083975,0.059533035584083134,8.541722935201331e-12,0.38971712802668246
152.0,0.3680695903577788,0.3708787063011013,-0.004015645546265434,0.2279197158330232,0.09016657135844271,0.05680806463873584,1.716501141114162e-11,0.37489435184736675
152.5,0.3540914494735362,0.3569005654168587,-0.0035396270349489223,0.20806598059876913,0.09817544597855654,0.054198765840537524,3.394445577864682e-11,0.36044019245180764
153.0,0.3414078264225355,0.344216942365858,-0.0020224118281728654,0.18907416695445778,0.10546418486439749,0.0517010023091007,6.607494926418802e-11,0.34623935419403085
153.5,0.3291576887528678,0.33196680469619033,-0.00019701255327381206,0.17104743264494449,0.11180566348834323,0.04931072098953875,1.2663769571633255e-10,0.33216381724946414
154.0,0.31674303466024606,0.31955215060356856,0.0014656497293111248,0.1540616915900273,0.11700085228333677,0.04702395676185912,2.3903426426832336e-10,0.31808650087425744
154.5,0.3036343253853412,0.3064434413286637,0.0025495943504615926,0.13816759283081684,0.12088941783435025,0.04483683586856853,4.444665412332373e-10,0.3038938469782021
155.0,0.289773257329112,0.2925823732724345,0.003085979672111161,0.12339286630019124,0.12335794777216345,0.04274557871362356,8.143450728233748e-10,0.28949639360032337
155.5,0.27556768750031846,0.27837680344364096,0.003540169707046681,0.10974490910889009,0.1243452210738077,0.04074650208336236,1.4705341160660045e-09,0.2748366337365943
156.0,0.2602790522942905,0.263088168237613,0.0031944338472330025,0.0972134977311511,0.12384421320384228,0.03883602083754257,2.6178440550932118e-09,0.25989373439038
156.5,0.24485066051228804,0.24765977645561058,0.0029747853114091283,0.0857735257793186,0.12190081165344144,0.037010649116104286,4.595337122281077e-09,0.24468499114420145
157.0,0.2295368525875092,0.23234596853083173,0.00308178630111125,0.07538768286704632,0.11860949030184306,0.03526700110479108,7.956040027415561e-09,0.22926418222972048
