wavelength,absorbance,absorbance_bk,residual_3gauss
117.0,0.6584265756441301,0.6598111064015376,-0.013439763386954962
117.5,0.6572053465471228,0.6585898773045303,-0.00899270011283404
118.0,0.6552298237817832,0.6566143545391907,-0.004473447905768091
118.5,0.6491656664072677,0.6505501971646752,-0.0032643582072551247
119.0,0.6445018549195354,0.6458863856769429,7.40458033903213e-05
119.5,0.63812297077998,0.6395075015373876,0.002375589636051334
120.0,0.6318646442231329,0.6332491749805405,0.005424063251187494
120.5,0.6241501350399915,0.625534665797399,0.007589879149848766
121.0,0.6134817238703464,0.6148662546277539,0.007321430769562598
121.5,0.6036210307475781,0.6050055615049856,0.008325247293326954
122.0,0.5916969899821821,0.5930815207395896,0.007673653578291528
122.5,0.5799673205798985,0.581351851337306,0.007565756258239742
123.0,0.5665002258662856,0.5678847566236931,0.006008476438768784
123.5,0.5514734851548141,0.5528580159122216,0.00311478671943366
124.0,0.5374978588938949,0.5388823896513024,0.0014260807319844693
124.5,0.5228348231418422,0.5242193538992497,-0.0008712864804013565
125.0,0.5092115464598087,0.5105960772172162,-0.0021323323359979662
125.5,0.4947387162251171,0.4961232469825246,-0.004336983813710782
126.0,0.48181314630262817,0.48319767706003564,-0.005188798067006339
126.5,0.46919299270621734,0.4705775234636248,-0.006040928742338525
127.0,0.4573657590970508,0.45875028985445826,-0.006529024303735476
127.5,0.44715940555270006,0.4485439363101075,-0.0059605978559201245
128.0,0.43743878049359336,0.4388233112510008,-0.005618494553332187
128.5,0.4299413004589956,0.43132583121640306,-0.003924381806116761
129.0,0.42341696640566606,0.4248014971630735,-0.0022970403918639026
129.5,0.4181297181250423,0.41951424888244976,-0.0006483526733667144
130.0,0.4142109941442216,0.41559552490162904,0.0009739364826674701
130.5,0.41146012808460786,0.4128446588420153,0.002191316140753574
131.0,0.41068660122976336,0.4120711319871708,0.0036424139586122006
131.5,0.4108830561663956,0.41226758692380305,0.0041624712486750814
132.0,0.41321710049733046,0.4146016312547379,0.00478220033340826
132.5,0.41710729509401534,0.4184918258514228,0.004811132504278115
133.0,0.4228280092581791,0.42421254001558656,0.0044497952582227
133.5,0.43064566580758934,0.4320301965649968,0.003932857877339824
134.0,0.44009357401891536,0.4414781047763228,0.0028100411661324265
134.5,0.4512579778950431,0.4526425086524506,0.0012370239157855067
135.0,0.4645319859893745,0.465916516746782,-0.00026734854732818336
135.5,0.47958186696575994,0.4809663977231674,-0.00185337031465993
136.0,0.4964379891135682,0.49782251987097564,-0.003250234563767551
136.5,0.5149892085002729,0.5163737392576804,-0.004274557985707861
137.0,0.5354222824067043,0.5368068131641118,-0.004396095420311719
137.5,0.5579674342147405,0.559351964972148,-0.002999402599951906
138.0,0.5811008058115329,0.5824853365689404,-0.0011904805910003535
138.2,0.5894950674845771,0.5908795982419847,-0.0012772232419395735
138.4,0.5988976781116253,0.6002822088690328,-0.0002847382696502532
138.6,0.6076542365833468,0.6090387673407544,0.00016148687551631458
138.8,0.6164723517384189,0.6178568824958264,0.0007979849323686006
139.0,0.6252314612458529,0.6266159920032605,0.0015329985756845632
139.2,0.6337080276516377,0.6350925584090452,0.0021715472235758204
139.4,0.642025995481058,0.6434105262384655,0.0028657556494214864
139.6,0.6496388132950616,0.6510233440524691,0.0030967491374915834
139.8,0.6573420267330853,0.6587265574904928,0.0036871220351410994
140.0,0.6635685267318545,0.664953057489262,0.0030960646829282235
140.2,0.6700965273004842,0.6714810580578917,0.0031272238577366718
140.4,0.6757951437293984,0.6771796744868059,0.0026741683161329854
140.6,0.68053093731304,0.6819154680704476,0.0016268261745256973
140.8,0.6857035985042741,0.6870881292616816,0.0014070666398846576
141.0,0.6894159708974772,0.6908005016548847,0.00013862901582828435
141.2,0.6932080500829619,0.6945925808403695,-0.000618966520524622
141.4,0.6962935996116713,0.6976781303690788,-0.0016338837606070244
141.6,0.6990515666096684,0.7004360973670759,-0.0025106281016347154
141.8,0.701773112441979,0.7031576431993866,-0.002943081387287716
142.0,0.7038656367977806,0.7052501675551881,-0.0035105354835553992
142.2,0.70636951524305,0.7077540460004575,-0.0031610045457385327
142.4,0.7079280264857961,0.7093125572432036,-0.0032413398328021703
142.6,0.7089289460348385,0.710313476792246,-0.0033556705874843162
142.8,0.7098905168399089,0.7112750475973164,-0.002979460688173008
143.0,0.7102567168805752,0.7116412476379828,-0.0026642614867571357
143.2,0.7103478526317438,0.7117323833891513,-0.002087132364513078
143.4,0.7100759996693956,0.7114605304268031,-0.0013352082667462684
143.6,0.7087084766738676,0.7100930074312751,-0.0011422285301708746
143.8,0.7069528357169016,0.7083373664743091,-0.0008035447130192441
144.0,0.7049851822505268,0.7063697130079343,-0.00014779460455804916
144.2,0.701914111682488,0.7032986424398955,-7.295609178359364e-05
144.4,0.698643261206735,0.7000277919641426,0.0003162172896141735
144.6,0.6947117423795712,0.6960962731369787,0.0005486442198638919
144.8,0.6900880586882926,0.6914725894457001,0.0005808508762926712
145.0,0.6851638619401996,0.6865483926976071,0.0007907473988647551
145.2,0.6797670529113946,0.6811515836688021,0.000990751144955948
145.4,0.6738948932978596,0.6752794240552671,0.0011609242032410982
145.6,0.6679421093486784,0.6693266401060859,0.0016771062665800196
145.8,0.6610344639549728,0.6624189947123803,0.001644520672157035
146.0,0.6539200433175575,0.655304574074965,0.0017891010917745476
146.2,0.6463958420628516,0.6477803728202591,0.0018841244233008814
146.4,0.6380111456157321,0.6393956763731397,0.0014536506742608424
146.6,0.6300286922249617,0.6314132229823692,0.0017337544764742807
146.8,0.6212774772304356,0.6226620079878431,0.001525413264853892
147.0,0.6117557481047282,0.6131402788621357,0.0007976032150499579
147.2,0.6025024560874208,0.6038869868448283,0.0005588713361943665
147.4,0.592444318570167,0.5938288493275745,-0.00029545965281829734
147.6,0.5823471160289282,0.5837316467863357,-0.0010318276429265305
147.8,0.5726095167748377,0.5739940475322453,-0.001284413552671393
148.0,0.5623223437894835,0.5637068745468911,-0.0019956543083493594
148.2,0.55224995150579,0.5536344822631976,-0.002434617969471753
148.4,0.5426018869191782,0.5439864176765857,-0.002425066923363084
148.6,0.5339389281412473,0.5353234588986548,-0.0014391173428445203
148.8,0.5249345811414848,0.5263191118988924,-0.0008354165735953156
149.0,0.5161449857589857,0.5175295165163932,-8.889096141129205e-05
149.2,0.5075735948919433,0.5089581256493508,0.0007742949841150759
149.4,0.49904945287618974,0.5004339836335973,0.0015553881005256898
149.6,0.4906877433988339,0.4920722741562414,0.002343967978006234
149.8,0.48262998692865133,0.4840145176860588,0.0032585121152764462
150.0,0.47348734157037303,0.4748718723277805,0.002890049789813276
150.5,0.4536092372667689,0.45499376802417635,0.003978593674646369
151.0,0.43361009188290767,0.43499462264031513,0.0034496496634064955
151.5,0.4143584683165572,0.41574299907396467,0.002165882027190702
152.0,0.3960552462380269,0.39743977699543437,0.0004827796872568513
152.5,0.37918083404858993,0.3805653648059974,-0.000818947044074203
153.0,0.3638824424281444,0.36526697318555185,-0.0011800545351272618
153.5,0.3485422935903659,0.3499268243477734,-0.0017445028264033158
154.0,0.33275269150049486,0.3341372222579023,-0.002444000899574361
154.5,0.31653653326785847,0.31792106402526593,-0.0028383414889323055
155.0,0.29949662531278887,0.30088115607019633,-0.003019174727084628
155.5,0.28176446602254396,0.2831489967799514,-0.002698769249778743
156.0,0.26323145640513634,0.2646159871625438,-0.00199570086904316
156.5,0.24394594956211327,0.24533048031952076,-0.0010325404777248026
157.0,0.22478098824595305,0.22616551900336054,0.0007571427205304848
157.5,0.20586845603301848,0.20725298679042597,0.0031029990202965374
158.0,0.18630437967219632,0.1876889104296038,0.004651069254224649
158.5,0.1670352863637533,0.1684198171211608,0.0058984239293580765
159.0,0.1469660397033777,0.1483505704607852,0.005343242719958785
159.5,0.12796552666406927,0.12935005742147676,0.004522139359594182
160.0,0.10947858196143892,0.11086311271884641,0.002640873216483028
160.5,0.09209564477358152,0.09348017553098902,0.00014995300959981528
161.0,0.07694311270888503,0.07832764346629252,-0.0018700939864004507
161.5,0.06373301570745493,0.06511754646486242,-0.0036722326921234394
