O1s_f(T)_Wave0	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave4	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave8	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave12	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave16	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave20	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3
1226.7916	1230.08197229776	1230.08145739665	1063.79307186553	4379.96965	4388.79748823942	4388.79745872457	4265.69394735699	7733.6667	7703.23635127291	7703.23282265701	7561.08274042409	10908.04125	10896.853732644	10896.846824525	10773.1219716299	14180.4992	14136.7975963016	14136.7841242946	14029.9222375686	17404.89545	17314.3141760835	17314.2976876946	17224.6149785561
1211.3689	1201.4901864654	1201.48997746035	1063.70386800743	4399.57215	4370.7530030071	4370.75299159566	4265.71391585084	7717.7719	7674.42013185808	7674.41866633368	7561.16755573637	10910.87935	10869.4121859285	10869.4092950468	10773.4260130427	14149.6788	14112.0336920118	14112.0279723109	14030.7658089264	17398.69425	17292.7771539865	17292.7701036508	17225.4505690954
1165.9096	1176.48346700413	1176.48338453284	1063.61484351164	4395.01425	4354.33836496991	4354.33836068094	4265.73389532562	7667.7173	7650.45309338147	7650.45250169072	7561.25356030651	10896.46205	10847.3463633981	10847.3451873803	10773.7323568288	14145.7458	14092.7058105561	14092.703449929	14031.6137735166	17346.85655	17276.2499228248	17276.246992239	17226.2914779378
1118.5694	1154.92978038864	1154.92974875407	1063.52589471288	4296.40515	4339.64370105774	4339.6436994907	4265.75387920093	7645.2631	7630.79473611139	7630.79450388607	7561.34007924486	10852.63715	10829.8528543554	10829.8523892937	10774.0397045227	14106.5976	14077.8656396271	14077.8646925299	14032.4636836505	17285.96945	17263.7832035938	17263.7820194291	17227.1347601091
1103.618	1136.61495166022	1136.61493986424	1063.43697691226	4317.97425	4326.69078047021	4326.69077991364	4265.77386478772	7636.2541	7614.89118439965	7614.8910957989	7561.42681402407	10872.36045	10816.1822008317	10816.1820220512	10774.3474768916	14095.406	14066.6715703662	14066.6712009851	14033.3144295985	17272.55505	17254.5573241271	17254.5568589879	17227.9790696758
1139.6619	1121.26698554735	1121.26698127154	1063.34807143007	4331.04925	4315.44342090316	4315.443420711	4265.79385102056	7629.6657	7602.20027806389	7602.20024520308	7561.51363668791	10827.67085	10805.6554154342	10805.6553486239	10774.6554235713	14067.6393	14058.3940709092	14058.3939308641	14034.1655239264	17257.37705	17247.8793688489	17247.8791912392	17228.8238107387
1125.5696	1108.57863144999	1108.57862994332	1063.25917069888	4296.46785	4305.81912283369	4305.8191227692	4265.81383749014	7589.9176	7592.21050769388	7592.21049584623	7561.60049407853	10824.97985	10797.6730953719	10797.6730711014	10774.9634396816	14057.0266	14052.4143943275	14052.4143427127	14035.01675916	17230.92305	17243.1751768344	17243.1751109074	17229.6687276484
1155.1816	1098.22715915864	1098.22715864254	1063.17027174627	4285.77235	4297.70099806075	4297.7009980397	4265.83382404394	7563.7431	7584.45403424412	7584.45403009171	7561.68736478706	10800.49925	10791.7183737493	10791.7183651784	10775.271482632	14053.9198	14048.2183457042	14048.2183272118	14035.8680497016	17272.51515	17239.9779379242	17239.9779141354	17230.5137141026
1081.914	1089.8907226487	1089.89072247685	1063.08137344	4263.47165	4290.94920523153	4290.94920522486	4265.85381062682	7557.4573	7578.51440718335	7578.5144057686	7561.77424045319	10774.41105	10787.3550905763	10787.355087634	10775.5795356534	14057.234	14045.3867607486	14045.386754308	14036.7193613137	17273.04055	17237.9149411399	17237.9149327954	17231.3587272505
1048.2598	1083.26106300106	1083.26106294543	1062.99247536174	4267.32685	4285.41128879112	4285.41128878906	4265.87379721946	7603.3413	7574.02982265763	7574.02982218906	7561.86111791079	10761.75225	10784.2225470681	10784.2225460862	10775.887592343	14056.0423	14043.58414248	14043.5841402994	14037.5706807176	17217.63915	17236.693741878	17236.6937390326	17232.2037503437
1096.6489	1078.05261344916	1078.05261343166	1062.90357736158	4297.87305	4280.93101497422	4280.9310149736	4265.89378381527	7574.7339	7570.69286334498	7570.69286319412	7561.94799599686	10733.19495	10782.0280785872	10782.0280782687	10776.1956503297	14009.325	14042.5466290963	14042.5466283786	14038.4220029187	17224.00175	17236.0886975499	17236.0886966068	17233.0487770339
1102.9842	1074.00830586542	1074.00830586007	1062.8146793874	4310.05365	4277.355488574	4277.35548857382	4265.91377041208	7561.2487	7568.24766031466	7568.24766026744	7562.034874297	10772.01685	10780.5384887978	10780.5384886973	10776.5037087616	13993.5425	14042.0701745254	14042.0701742958	14039.2733260946	17236.32765	17235.928518326	17235.9285180221	17233.893804987
1079.3985	1070.90253517497	1070.90253517337	1062.7257814216	4281.38465	4274.54050156023	4274.54050156018	4265.9337570092	7546.2363	7566.48534191796	7566.4853419036	7562.12175266793	10752.33785	10779.5711670804	10779.5711670496	10776.811767342	14044.7339	14041.9995472581	14041.9995471867	14040.1246496003	17229.61615	17236.0852161046	17236.0852160094	17234.7388333706
1068.708	1068.54182122397	1068.54182122351	1062.63688345844	4257.46505	4272.35419904548	4272.35419904547	4265.95374360642	7528.2664	7565.23851245526	7565.23851245102	7562.2086310616	10756.28585	10778.9854910032	10778.985490994	10777.1198259704	14008.0038	14042.2185135601	14042.2185135385	14040.9759732144	17233.43035	17236.4646230118	17236.4646229828	17235.5838618967
1056.9737	1066.76372753118	1066.76372753105	1062.54798549608	4300.23945	4270.67924497354	4270.67924497354	4265.97373020366	7568.3149	7564.37535791162	7564.37535791039	7562.29550946235	10773.63205	10778.6749149614	10778.6749149587	10777.4278846139	14028.1793	14042.641378071	14042.6413780647	14041.8272968631	17173.78115	17236.9984931555	17236.9984931469	17236.4288904686
1059.2854	1065.43456749073	1065.43456749069	1062.45908753395	4321.66895	4269.41372936219	4269.41372936218	4265.9937168009	7551.8244	7563.79382666197	7563.79382666163	7562.38238786525	10705.94405	10778.5599763883	10778.5599763876	10777.735943262	14005.681	14043.2059101857	14043.2059101839	14042.6786205225	17233.41615	17237.6380941341	17237.6380941317	17237.2739190549
1050.6587	1064.44636634302	1064.44636634301	1062.37018957189	4261.45125	4268.47108475419	4268.47108475419	4266.01370339815	7528.4106	7563.41619372389	7563.4161937238	7562.46926626878	10764.03535	10778.582317079	10778.5823170788	10778.0440019114	13982.2965	14043.8675851116	14043.8675851111	14043.5299441852	17196.42655	17238.3491303641	17238.3491303634	17238.1189476454
1089.7001	1063.71346606725	1063.71346606725	1062.28129160985	4258.17945	4267.77927786155	4267.77927786155	4266.0336899954	7481.7381	7563.18419676074	7563.18419676072	7562.5561446725	10743.34755	10778.6997190678	10778.6997190677	10778.3520605613	13995.3586	14044.5950075541	14044.5950075539	14044.3812678487	17145.20995	17239.1078095571	17239.1078095569	17238.9639762373
1066.3249	1063.16907257536	1063.16907257536	1062.19239364781	4244.00565	4267.27952048457	4267.27952048457	4266.05367659265	7515.0964	7563.05483499974	7563.05483499973	7562.64302307626	10742.90185	10778.882088761	10778.882088761	10778.6601192113	14011.8521	14045.3663556296	14045.3663556296	14045.2325915126	17154.62885	17239.8978575217	17239.8978575217	17239.8090048295
1006.1096	1062.761959645	1062.761959645	1062.10349568578	4254.35415	4266.92470896099	4266.92470896099	4266.0736631899	7571.3981	7562.99684935464	7562.99684935464	7562.72990148004	10711.66015	10779.108284347	10779.108284347	10778.9681778613	13992.7892	14046.1666747693	14046.1666747693	14046.0839151765	17162.68695	17240.7082966936	17240.7082966936	17240.6540334218
