O1s_f(T)_Wave0	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave4	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave8	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave12	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave16	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave20	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3
1097.2622	1073.35832724023	1069.14883813714	1072.44694416919	4303.23375	4267.59940700892	4264.85026706746	4267.44372792109	7572.249	7571.45350679546	7562.2844565457	7565.90434186889	10795.08815	10788.2990978516	10775.996775717	10770.0144531448	14070.8602	14041.9309558103	14030.2753546006	13998.998183574	17298.63355	17261.3441465402	17251.3498413476	17192.341365743
1087.3547	1076.51857947455	1069.48770613807	1075.17943044054	4253.65185	4269.32377835519	4264.95013145646	4269.0882214756	7611.5739	7580.33160682011	7564.661933257	7572.49184358603	10858.45635	10804.3575634909	10783.1737304606	10779.2040226906	14078.975	14066.447590512	14046.0854876067	14008.5560089336	17367.96395	17292.6204115725	17275.0358673947	17200.7766333205
1109.4813	1081.42062625375	1070.00493485695	1079.47535053882	4249.18015	4271.85092115316	4265.08692036538	4271.4985619619	7639.659	7593.89082116955	7567.85875695398	7582.94111264227	10859.48275	10827.9966055156	10792.5369055979	10793.7879482279	14119.4464	14100.7982661812	14066.2183737936	14023.6251220799	17387.00485	17334.9662292465	17304.8900486154	17214.1132983663
1064.6065	1088.78238755382	1070.76431932575	1085.98882940807	4272.83015	4275.44458456783	4265.27562214366	4274.92351019555	7648.5824	7614.15578273526	7572.11504523434	7599.0366643314	10906.42555	10862.330262165	10804.6298880896	10816.3366810356	14174.4777	14148.6883755758	14091.6013114996	14046.9836174323	17415.76945	17392.1019170555	17342.0953184673	17234.8887449157
1074.4756	1099.4935978804	1071.84791667075	1095.52754442761	4319.77465	4280.39783112585	4265.53632937433	4279.63603612014	7722.8829	7643.72131903554	7577.72114107044	7623.08298319935	10943.86355	10911.3498684206	10820.0783526902	10850.2158813406	14228.5632	14214.870065563	14123.2554337467	14082.3625088365	17504.75895	17468.7351996763	17387.9103310669	17266.5520435292
1131.1473	1114.59386032556	1073.35948442025	1109.02734116123	4274.97385	4287.00913203437	4265.89555520822	4285.90809779202	7743.8758	7685.74508953619	7585.02109320534	7657.89367996888	10991.94005	10979.9327415749	10839.5851519356	10899.6000138995	14354.8776	14305.1959606036	14162.2720027233	14134.5231585642	17583.68835	17570.6185862472	17443.6267623221	17313.5640274372
1184.8362	1135.21460996559	1075.42790521078	1127.4907720487	4258.22665	4295.54681325103	4266.38772165572	4293.97359915843	7785.8324	7743.8424905438	7594.41384776781	7706.68520481781	11113.16105	11073.7101052221	10863.9186887296	10969.3518994027	14439.8076	14426.5264179361	14209.776825584	14209.2001167001	17707.54085	17704.4753209923	17510.5120159241	17381.3805371727
1177.8589	1162.47834962697	1078.21031402988	1151.88320492895	4299.78635	4306.20384291845	4267.05677595252	4303.9815611263	7823.4331	7821.85149531684	7606.35122630856	7772.84370945388	11224.43815	11198.7414160372	10893.8932872349	11064.7166703626	14491.3012	14586.4215210788	14266.881980942	14312.8413881487	17846.09665	17877.7269723674	17589.7376061554	17476.2516269088
1178.6128	1197.35525576169	1081.89455625998	1182.98697087153	4316.29725	4319.04805040086	4267.95785910323	4315.94467205526	7962.3299	7923.44851132719	7621.3317344638	7859.54709571277	11369.83755	11360.9588286585	10930.3405968482	11190.7948320206	14712.86	14792.5601055402	14334.6249518189	14452.0883253971	18030.28765	18097.9626540187	17682.2948474045	17604.7750959034
1240.9418	1240.48714446721	1086.70052162619	1221.2239962488	4328.85465	4333.97590746954	4269.15891283225	4329.69146199216	8078.2344	8051.62159653554	7639.88930411212	7969.24948967658	11492.32065	11565.3803989605	10974.071582433	11351.7934753877	15077.7168	15051.8607843671	14413.8964161827	14632.9688635242	18307.85185	18372.1169825002	17788.9010375948	17773.1682627869
