	O1s_f(T)_Wave0		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave4		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave8		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave12		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave16		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave20		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3
534.556	1795.691	534.556	1800.38928471587	534.556	1769.59557611862	534.556	1096.09753091624	534.556	4631.25845	534.556	4586.07151331009	534.556	4582.03468772512	534.556	4269.39097127386	534.556	8860.718	534.556	8876.1826189626	534.556	8733.2618145349	534.556	7702.52308337161	534.556	12643.25105	534.556	12620.2664820686	534.556	12374.1960895977	534.556	11013.9484589317	534.556	16319.6387	534.556	16340.2297123897	534.556	15964.7958974934	534.556	14390.8700781708	534.556	19662.40315	534.556	19657.8834398685	534.556	19250.747174585	534.556	17617.3692693811
534.656	1770.612	534.656	1794.49354908919	534.656	1774.27393295277	534.656	1085.43454049337	534.656	4654.70745	534.656	4596.2123593756	534.656	4593.68761227467	534.656	4267.89887938706	534.656	8741.4006	534.656	8791.81632011526	534.656	8695.7962376668	534.656	7655.70923979615	534.656	12379.01745	534.656	12448.8303668923	534.656	12282.2561277993	534.656	10934.7603642037	534.656	16027.0318	534.656	16075.1560131991	534.656	15817.3147852612	534.656	14274.1288148763	534.656	19345.61405	534.656	19353.5954764931	534.656	19071.9846659144	534.656	17492.6888432687
534.756	1823.6188	534.756	1783.75872506424	534.756	1770.85257000854	534.756	1078.03218145062	534.756	4563.99875	534.756	4603.42546212653	534.756	4601.89046049972	534.756	4266.9291205102	534.756	8722.2816	534.756	8709.71492761609	534.756	8647.0042117362	534.756	7622.48675163136	534.756	12216.91885	534.756	12288.9714815101	534.756	12179.3566361118	534.756	10878.1090291591	534.756	15814.272	534.756	15834.3063384982	534.756	15662.1653087795	534.756	14189.279940321	534.756	19076.74155	534.756	19079.0514508288	534.756	18889.6985694254	534.756	17401.2759426856
534.856	1720.216	534.856	1767.45348204582	534.856	1759.44530046539	534.856	1073.04531001331	534.856	4613.68205	534.856	4607.27570842565	534.856	4606.3684879169	534.856	4266.32132598939	534.856	8562.8185	534.856	8628.27657820906	534.856	8588.46269813767	534.856	7599.67679422664	534.856	12108.91515	534.856	12138.6362670359	534.856	12068.5159332695	534.856	10838.9225761772	534.856	15596.7088	534.856	15615.1315835977	534.856	15503.4119523277	534.856	14129.7098655363	534.856	18759.40975	534.856	18831.970426778	534.856	18708.2026541785	534.856	17336.5358624741
534.956	1740.3381	534.956	1745.26641244553	534.956	1740.43600231149	534.956	1069.77864060488	534.956	4617.50355	534.956	4607.49133600553	534.956	4606.97010536225	534.956	4265.95532272118	534.956	8525.4237	534.956	8546.56915075028	534.956	8521.99716183613	534.956	7584.52178147319	534.956	12000.19655	534.956	11996.396740789	534.956	11952.7922082514	534.956	10812.7148335983	534.956	15369.7674	534.956	15415.3478070807	534.956	15344.8642761683	534.956	14089.3250888427	534.956	18533.36845	534.956	18609.9819224406	534.956	18531.3396066835	534.956	17292.2554342241
535.056	1733.2559	535.056	1717.28935263297	535.056	1714.4570010417	535.056	1067.69168410009	535.056	4624.19855	535.056	4603.96654937635	535.056	4603.67543739364	535.056	4265.74519065785	535.056	8494.8344	535.056	8464.3296202116	535.056	8449.58752611518	535.056	7574.77876505924	535.056	11770.55145	535.056	11861.5061724751	535.056	11835.1469644966	535.056	10795.7775676892	535.056	15190.9919	535.056	15233.1643506153	535.056	15189.9369747706	535.056	14062.9202574389	535.056	18312.27215	535.056	18410.9426677954	535.056	18362.3670790175	535.056	17263.0337358372
535.156	1691.2271	535.156	1683.96843216711	535.156	1682.35398669696	535.156	1066.38488001694	535.156	4615.95145	535.156	4596.7555031601	535.156	4596.59744996282	535.156	4265.63211846967	535.156	8372.4816	535.156	8381.86906098616	535.156	8373.27118634941	535.156	7568.72142400334	535.156	11692.25585	535.156	11733.814948409	535.156	11718.3251366522	535.156	10785.2162301176	535.156	15028.9532	535.156	15067.3171003441	535.156	15041.5453952274	535.156	14046.3159103748	535.156	18187.72535	535.156	18233.0549695095	535.156	18203.8878920839	535.156	17244.4702530773
535.256	1646.6031	535.256	1646.03474623448	535.256	1645.1401796741	535.256	1065.57610314514	535.256	4569.07835	535.256	4586.05897608066	535.256	4585.97555812341	535.256	4265.57746982689	535.256	8297.3028	535.256	8299.92421050215	535.256	8295.04964287999	535.256	7565.08499539254	535.256	11631.89695	535.256	11613.6067400947	535.256	11604.7581722622	535.256	10778.8830448433	535.256	14867.8808	535.256	14916.9756524112	535.256	14902.0394394841	535.256	14036.3317418492	535.256	18076.47635	535.256	18074.8483809589	535.256	18057.8236280642	535.256	17233.1729571387
535.356	1587.1119	535.356	1604.42506085343	535.356	1603.94320737288	535.356	1065.07449210327	535.356	4571.91255	535.356	4572.20501679244	535.356	4572.16221826005	535.356	4265.55683699929	535.356	8162.4279	535.356	8219.49112567077	535.356	8216.80458047015	535.356	7562.98385137479	535.356	11463.03905	535.356	11501.4077991607	535.356	11496.4940510428	535.356	10775.2562837787	535.356	14789.3908	535.356	14781.590523135	535.356	14773.1755855261	535.356	14030.6617901949	535.356	17905.12905	535.356	17935.0878292117	535.356	17925.4277256782	535.356	17226.6533363698
535.456	1568.6592	535.456	1560.20087432803	535.456	1559.94856668753	535.456	1064.75604830119	535.456	4537.18665	535.456	4555.62489778844	535.456	4555.60355204601	535.456	4265.55537080657	535.456	8152.1317	535.456	8141.6673845636	535.456	8140.22803836317	535.456	7561.82353077837	535.456	11405.68795	535.456	11397.8083477779	535.456	11395.1557838593	535.456	10773.3031582295	535.456	14658.3332	535.456	14660.7326253302	535.456	14656.1239685534	535.456	14027.7068330268	535.456	17815.13525	535.456	17812.6601858378	535.456	17807.3317982688	535.456	17223.1666489976
535.556	1503.6152	535.556	1514.47202698297	535.556	1514.34359923546	535.556	1064.54327044616	535.556	4526.87285	535.556	4536.8258364958	535.556	4536.81548729738	535.556	4265.56436085981	535.556	8108.8696	535.556	8067.51946599568	535.556	8066.76983171099	535.556	7561.22069726641	535.556	11295.58615	535.556	11303.3196133055	535.556	11301.9276368592	535.556	10772.3506294072	535.556	14569.9812	535.556	14553.9589211596	535.556	14551.5052808785	535.556	14026.4031401951	535.556	17723.68805	535.556	17706.4744406275	535.556	17703.6173573898	535.556	17221.5403732586
535.656	1506.0339	535.656	1468.32915930877	535.656	1468.26561152777	535.656	1064.38949251762	535.656	4514.58565	535.656	4516.36207079022	535.656	4516.35719308866	535.656	4265.5788759602	535.656	8043.1724	535.656	7997.98330298846	535.656	7997.60377249293	535.656	7560.93747188104	535.656	11273.06965	535.656	11218.276453251	535.656	11217.5663672075	535.656	10771.9767976544	535.656	14521.3384	535.656	14460.7206780848	535.656	14459.4508045239	535.656	14026.0706971387	535.656	17642.75155	535.656	17615.3937000516	535.656	17613.9044657136	535.656	17221.0175529513
535.756	1424.512	535.756	1422.78774954118	535.756	1422.7571823892	535.756	1064.26761392657	535.756	4507.24255	535.756	4494.80594412651	535.756	4494.80370933612	535.756	4265.59621964629	535.756	7931.3268	535.756	7933.79945540618	535.756	7933.61266396388	535.756	7560.83161123158	535.756	11204.94475	535.756	11142.7854094927	535.756	11142.4332794102	535.756	10771.9269003433	535.756	14419.1583	535.756	14380.3171004204	535.756	14379.6782147744	535.756	14026.2910328879	535.756	17629.13685	535.756	17538.203589475	535.756	17537.4489904305	535.756	17221.1279462502
535.856	1394.9833	535.856	1378.74518755292	535.856	1378.73089457826	535.856	1064.16244178721	535.856	4465.35575	535.856	4472.72061591259	535.856	4472.71962057266	535.856	4265.61496679308	535.856	7875.2074	535.856	7875.48002094802	535.856	7875.39065329864	535.856	7560.82106584244	535.856	11130.28485	535.856	11076.7117396101	535.856	11076.5419901736	535.856	10772.0525783475	535.856	14380.6523	535.856	14311.8882964707	535.856	14311.5758332953	535.856	14026.8159340812	535.856	17478.60275	535.856	17473.6126291449	535.856	17473.240937737	535.856	17221.5900672059
535.956	1342.2756	535.956	1336.95130010962	535.956	1336.94480325224	535.956	1064.06574770789	535.956	4417.16675	535.956	4450.63584595392	535.956	4450.63541501162	535.956	4265.63438899269	535.956	7857.3753	535.956	7823.3019960634	535.956	7823.26043211896	535.956	7560.8601405413	535.956	11075.84385	535.956	11019.6959790333	535.956	11019.6164315185	535.956	10772.2704350757	535.956	14321.7237	535.956	14254.4372022486	535.956	14254.288647132	535.956	14027.5033496863	535.956	17437.00815	535.956	17420.2756085221	535.956	17420.097632353	535.956	17222.2413805594
536.056	1284.0168	536.056	1297.99188190466	536.056	1297.98901114323	536.056	1063.97322364991	536.056	4435.07995	536.056	4429.02801599343	536.056	4429.02783461741	536.056	4265.65412602367	536.056	7782.044	536.056	7777.32083068465	536.056	7777.30203897741	536.056	7560.92424670787	536.056	11033.54235	536.056	10971.1900110172	536.056	10971.1537735403	536.056	10772.5351836879	536.056	14262.3712	536.056	14206.8691421935	536.056	14206.8004844622	536.056	14028.2747759649	536.056	17445.44415	536.056	17376.8299025176	536.056	17376.747059817	536.056	17222.9912756833
536.156	1262.609	536.156	1262.28408443888	536.156	1262.28285132288	536.156	1063.88268804245	536.156	4402.37975	536.156	4408.30517671613	536.156	4408.30510250763	536.156	4265.6740054534	536.156	7783.5253	536.156	7737.39791925394	536.156	7737.38966022893	536.156	7561.00059242943	536.156	10984.96815	536.156	10930.5035599041	536.156	10930.4875125902	536.156	10772.8230521749	536.156	14213.6056	536.156	14168.0389186706	536.156	14168.0080722807	536.156	14029.0882882875	536.156	17431.23105	536.156	17341.9358055237	536.156	17341.8983203348	536.156	17223.7909467639
536.256	1226.7916	536.256	1230.08197229776	536.256	1230.08145739665	536.256	1063.79307186553	536.256	4379.96965	536.256	4388.79748823942	536.256	4388.79745872457	536.256	4265.69394735699	536.256	7733.6667	536.256	7703.23635127291	536.256	7703.23282265701	536.256	7561.08274042409	536.256	10908.04125	536.256	10896.853732644	536.256	10896.846824525	536.256	10773.1219716299	536.256	14180.4992	536.256	14136.7975963016	536.256	14136.7841242946	536.256	14029.9222375686	536.256	17404.89545	536.256	17314.3141760835	536.256	17314.2976876946	536.256	17224.6149785561
536.356	1211.3689	536.356	1201.4901864654	536.356	1201.48997746035	536.356	1063.70386800743	536.356	4399.57215	536.356	4370.7530030071	536.356	4370.75299159566	536.356	4265.71391585084	536.356	7717.7719	536.356	7674.42013185808	536.356	7674.41866633368	536.356	7561.16755573637	536.356	10910.87935	536.356	10869.4121859285	536.356	10869.4092950468	536.356	10773.4260130427	536.356	14149.6788	536.356	14112.0336920118	536.356	14112.0279723109	536.356	14030.7658089264	536.356	17398.69425	536.356	17292.7771539865	536.356	17292.7701036508	536.356	17225.4505690954
536.456	1165.9096	536.456	1176.48346700413	536.456	1176.48338453284	536.456	1063.61484351164	536.456	4395.01425	536.456	4354.33836496991	536.456	4354.33836068094	536.456	4265.73389532562	536.456	7667.7173	536.456	7650.45309338147	536.456	7650.45250169072	536.456	7561.25356030651	536.456	10896.46205	536.456	10847.3463633981	536.456	10847.3451873803	536.456	10773.7323568288	536.456	14145.7458	536.456	14092.7058105561	536.456	14092.703449929	536.456	14031.6137735166	536.456	17346.85655	536.456	17276.2499228248	536.456	17276.246992239	536.456	17226.2914779378
536.556	1118.5694	536.556	1154.92978038864	536.556	1154.92974875407	536.556	1063.52589471288	536.556	4296.40515	536.556	4339.64370105774	536.556	4339.6436994907	536.556	4265.75387920093	536.556	7645.2631	536.556	7630.79473611139	536.556	7630.79450388607	536.556	7561.34007924486	536.556	10852.63715	536.556	10829.8528543554	536.556	10829.8523892937	536.556	10774.0397045227	536.556	14106.5976	536.556	14077.8656396271	536.556	14077.8646925299	536.556	14032.4636836505	536.556	17285.96945	536.556	17263.7832035938	536.556	17263.7820194291	536.556	17227.1347601091
536.656	1103.618	536.656	1136.61495166022	536.656	1136.61493986424	536.656	1063.43697691226	536.656	4317.97425	536.656	4326.69078047021	536.656	4326.69077991364	536.656	4265.77386478772	536.656	7636.2541	536.656	7614.89118439965	536.656	7614.8910957989	536.656	7561.42681402407	536.656	10872.36045	536.656	10816.1822008317	536.656	10816.1820220512	536.656	10774.3474768916	536.656	14095.406	536.656	14066.6715703662	536.656	14066.6712009851	536.656	14033.3144295985	536.656	17272.55505	536.656	17254.5573241271	536.656	17254.5568589879	536.656	17227.9790696758
536.756	1139.6619	536.756	1121.26698554735	536.756	1121.26698127154	536.756	1063.34807143007	536.756	4331.04925	536.756	4315.44342090316	536.756	4315.443420711	536.756	4265.79385102056	536.756	7629.6657	536.756	7602.20027806389	536.756	7602.20024520308	536.756	7561.51363668791	536.756	10827.67085	536.756	10805.6554154342	536.756	10805.6553486239	536.756	10774.6554235713	536.756	14067.6393	536.756	14058.3940709092	536.756	14058.3939308641	536.756	14034.1655239264	536.756	17257.37705	536.756	17247.8793688489	536.756	17247.8791912392	536.756	17228.8238107387
536.856	1125.5696	536.856	1108.57863144999	536.856	1108.57862994332	536.856	1063.25917069888	536.856	4296.46785	536.856	4305.81912283369	536.856	4305.8191227692	536.856	4265.81383749014	536.856	7589.9176	536.856	7592.21050769388	536.856	7592.21049584623	536.856	7561.60049407853	536.856	10824.97985	536.856	10797.6730953719	536.856	10797.6730711014	536.856	10774.9634396816	536.856	14057.0266	536.856	14052.4143943275	536.856	14052.4143427127	536.856	14035.01675916	536.856	17230.92305	536.856	17243.1751768344	536.856	17243.1751109074	536.856	17229.6687276484
536.956	1155.1816	536.956	1098.22715915864	536.956	1098.22715864254	536.956	1063.17027174627	536.956	4285.77235	536.956	4297.70099806075	536.956	4297.7009980397	536.956	4265.83382404394	536.956	7563.7431	536.956	7584.45403424412	536.956	7584.45403009171	536.956	7561.68736478706	536.956	10800.49925	536.956	10791.7183737493	536.956	10791.7183651784	536.956	10775.271482632	536.956	14053.9198	536.956	14048.2183457042	536.956	14048.2183272118	536.956	14035.8680497016	536.956	17272.51515	536.956	17239.9779379242	536.956	17239.9779141354	536.956	17230.5137141026
537.056	1081.914	537.056	1089.8907226487	537.056	1089.89072247685	537.056	1063.08137344	537.056	4263.47165	537.056	4290.94920523153	537.056	4290.94920522486	537.056	4265.85381062682	537.056	7557.4573	537.056	7578.51440718335	537.056	7578.5144057686	537.056	7561.77424045319	537.056	10774.41105	537.056	10787.3550905763	537.056	10787.355087634	537.056	10775.5795356534	537.056	14057.234	537.056	14045.3867607486	537.056	14045.386754308	537.056	14036.7193613137	537.056	17273.04055	537.056	17237.9149411399	537.056	17237.9149327954	537.056	17231.3587272505
537.156	1048.2598	537.156	1083.26106300106	537.156	1083.26106294543	537.156	1062.99247536174	537.156	4267.32685	537.156	4285.41128879112	537.156	4285.41128878906	537.156	4265.87379721946	537.156	7603.3413	537.156	7574.02982265763	537.156	7574.02982218906	537.156	7561.86111791079	537.156	10761.75225	537.156	10784.2225470681	537.156	10784.2225460862	537.156	10775.887592343	537.156	14056.0423	537.156	14043.58414248	537.156	14043.5841402994	537.156	14037.5706807176	537.156	17217.63915	537.156	17236.693741878	537.156	17236.6937390326	537.156	17232.2037503437
537.256	1096.6489	537.256	1078.05261344916	537.256	1078.05261343166	537.256	1062.90357736158	537.256	4297.87305	537.256	4280.93101497422	537.256	4280.9310149736	537.256	4265.89378381527	537.256	7574.7339	537.256	7570.69286334498	537.256	7570.69286319412	537.256	7561.94799599686	537.256	10733.19495	537.256	10782.0280785872	537.256	10782.0280782687	537.256	10776.1956503297	537.256	14009.325	537.256	14042.5466290963	537.256	14042.5466283786	537.256	14038.4220029187	537.256	17224.00175	537.256	17236.0886975499	537.256	17236.0886966068	537.256	17233.0487770339
537.356	1102.9842	537.356	1074.00830586542	537.356	1074.00830586007	537.356	1062.8146793874	537.356	4310.05365	537.356	4277.355488574	537.356	4277.35548857382	537.356	4265.91377041208	537.356	7561.2487	537.356	7568.24766031466	537.356	7568.24766026744	537.356	7562.034874297	537.356	10772.01685	537.356	10780.5384887978	537.356	10780.5384886973	537.356	10776.5037087616	537.356	13993.5425	537.356	14042.0701745254	537.356	14042.0701742958	537.356	14039.2733260946	537.356	17236.32765	537.356	17235.928518326	537.356	17235.9285180221	537.356	17233.893804987
537.456	1079.3985	537.456	1070.90253517497	537.456	1070.90253517337	537.456	1062.7257814216	537.456	4281.38465	537.456	4274.54050156023	537.456	4274.54050156018	537.456	4265.9337570092	537.456	7546.2363	537.456	7566.48534191796	537.456	7566.4853419036	537.456	7562.12175266793	537.456	10752.33785	537.456	10779.5711670804	537.456	10779.5711670496	537.456	10776.811767342	537.456	14044.7339	537.456	14041.9995472581	537.456	14041.9995471867	537.456	14040.1246496003	537.456	17229.61615	537.456	17236.0852161046	537.456	17236.0852160094	537.456	17234.7388333706
537.556	1068.708	537.556	1068.54182122397	537.556	1068.54182122351	537.556	1062.63688345844	537.556	4257.46505	537.556	4272.35419904548	537.556	4272.35419904547	537.556	4265.95374360642	537.556	7528.2664	537.556	7565.23851245526	537.556	7565.23851245102	537.556	7562.2086310616	537.556	10756.28585	537.556	10778.9854910032	537.556	10778.985490994	537.556	10777.1198259704	537.556	14008.0038	537.556	14042.2185135601	537.556	14042.2185135385	537.556	14040.9759732144	537.556	17233.43035	537.556	17236.4646230118	537.556	17236.4646229828	537.556	17235.5838618967
537.656	1056.9737	537.656	1066.76372753118	537.656	1066.76372753105	537.656	1062.54798549608	537.656	4300.23945	537.656	4270.67924497354	537.656	4270.67924497354	537.656	4265.97373020366	537.656	7568.3149	537.656	7564.37535791162	537.656	7564.37535791039	537.656	7562.29550946235	537.656	10773.63205	537.656	10778.6749149614	537.656	10778.6749149587	537.656	10777.4278846139	537.656	14028.1793	537.656	14042.641378071	537.656	14042.6413780647	537.656	14041.8272968631	537.656	17173.78115	537.656	17236.9984931555	537.656	17236.9984931469	537.656	17236.4288904686
537.756	1059.2854	537.756	1065.43456749073	537.756	1065.43456749069	537.756	1062.45908753395	537.756	4321.66895	537.756	4269.41372936219	537.756	4269.41372936218	537.756	4265.9937168009	537.756	7551.8244	537.756	7563.79382666197	537.756	7563.79382666163	537.756	7562.38238786525	537.756	10705.94405	537.756	10778.5599763883	537.756	10778.5599763876	537.756	10777.735943262	537.756	14005.681	537.756	14043.2059101857	537.756	14043.2059101839	537.756	14042.6786205225	537.756	17233.41615	537.756	17237.6380941341	537.756	17237.6380941317	537.756	17237.2739190549
537.856	1050.6587	537.856	1064.44636634302	537.856	1064.44636634301	537.856	1062.37018957189	537.856	4261.45125	537.856	4268.47108475419	537.856	4268.47108475419	537.856	4266.01370339815	537.856	7528.4106	537.856	7563.41619372389	537.856	7563.4161937238	537.856	7562.46926626878	537.856	10764.03535	537.856	10778.582317079	537.856	10778.5823170788	537.856	10778.0440019114	537.856	13982.2965	537.856	14043.8675851116	537.856	14043.8675851111	537.856	14043.5299441852	537.856	17196.42655	537.856	17238.3491303641	537.856	17238.3491303634	537.856	17238.1189476454
537.956	1089.7001	537.956	1063.71346606725	537.956	1063.71346606725	537.956	1062.28129160985	537.956	4258.17945	537.956	4267.77927786155	537.956	4267.77927786155	537.956	4266.0336899954	537.956	7481.7381	537.956	7563.18419676074	537.956	7563.18419676072	537.956	7562.5561446725	537.956	10743.34755	537.956	10778.6997190678	537.956	10778.6997190677	537.956	10778.3520605613	537.956	13995.3586	537.956	14044.5950075541	537.956	14044.5950075539	537.956	14044.3812678487	537.956	17145.20995	537.956	17239.1078095571	537.956	17239.1078095569	537.956	17238.9639762373
538.056	1066.3249	538.056	1063.16907257536	538.056	1063.16907257536	538.056	1062.19239364781	538.056	4244.00565	538.056	4267.27952048457	538.056	4267.27952048457	538.056	4266.05367659265	538.056	7515.0964	538.056	7563.05483499974	538.056	7563.05483499973	538.056	7562.64302307626	538.056	10742.90185	538.056	10778.882088761	538.056	10778.882088761	538.056	10778.6601192113	538.056	14011.8521	538.056	14045.3663556296	538.056	14045.3663556296	538.056	14045.2325915126	538.056	17154.62885	538.056	17239.8978575217	538.056	17239.8978575217	538.056	17239.8090048295
538.156	1006.1096	538.156	1062.761959645	538.156	1062.761959645	538.156	1062.10349568578	538.156	4254.35415	538.156	4266.92470896099	538.156	4266.92470896099	538.156	4266.0736631899	538.156	7571.3981	538.156	7562.99684935464	538.156	7562.99684935464	538.156	7562.72990148004	538.156	10711.66015	538.156	10779.108284347	538.156	10779.108284347	538.156	10778.9681778613	538.156	13992.7892	538.156	14046.1666747693	538.156	14046.1666747693	538.156	14046.0839151765	538.156	17162.68695	538.156	17240.7082966936	538.156	17240.7082966936	538.156	17240.6540334218
