	O1s_f(T)_Wave0		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave4		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave8		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave12		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave16		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave20		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3
531.156	1096.4774	531.156	1071.38952634052	531.156	1068.93954618536	531.156	1070.77633318328	531.156	4258.97475	531.156	4266.45613845873	531.156	4264.77631733282	531.156	4266.35442250828	531.156	7562.6368	531.156	7565.74706617238	531.156	7560.53149570047	531.156	7561.86398368726	531.156	10777.41455	531.156	10777.4893259801	531.156	10770.5441587684	531.156	10764.3492395719	531.156	14080.6433	531.156	14024.4535252168	531.156	14017.9677813568	531.156	13992.9770025603	531.156	17254.14685	531.156	17238.2755515557	531.156	17232.7536690604	531.156	17187.0239144534
531.256	1097.2622	531.256	1073.35832724023	531.256	1069.14883813714	531.256	1072.44694416919	531.256	4303.23375	531.256	4267.59940700892	531.256	4264.85026706746	531.256	4267.44372792109	531.256	7572.249	531.256	7571.45350679546	531.256	7562.2844565457	531.256	7565.90434186889	531.256	10795.08815	531.256	10788.2990978516	531.256	10775.996775717	531.256	10770.0144531448	531.256	14070.8602	531.256	14041.9309558103	531.256	14030.2753546006	531.256	13998.998183574	531.256	17298.63355	531.256	17261.3441465402	531.256	17251.3498413476	531.256	17192.341365743
531.356	1087.3547	531.356	1076.51857947455	531.356	1069.48770613807	531.356	1075.17943044054	531.356	4253.65185	531.356	4269.32377835519	531.356	4264.95013145646	531.356	4269.0882214756	531.356	7611.5739	531.356	7580.33160682011	531.356	7564.661933257	531.356	7572.49184358603	531.356	10858.45635	531.356	10804.3575634909	531.356	10783.1737304606	531.356	10779.2040226906	531.356	14078.975	531.356	14066.447590512	531.356	14046.0854876067	531.356	14008.5560089336	531.356	17367.96395	531.356	17292.6204115725	531.356	17275.0358673947	531.356	17200.7766333205
531.456	1109.4813	531.456	1081.42062625375	531.456	1070.00493485695	531.456	1079.47535053882	531.456	4249.18015	531.456	4271.85092115316	531.456	4265.08692036538	531.456	4271.4985619619	531.456	7639.659	531.456	7593.89082116955	531.456	7567.85875695398	531.456	7582.94111264227	531.456	10859.48275	531.456	10827.9966055156	531.456	10792.5369055979	531.456	10793.7879482279	531.456	14119.4464	531.456	14100.7982661812	531.456	14066.2183737936	531.456	14023.6251220799	531.456	17387.00485	531.456	17334.9662292465	531.456	17304.8900486154	531.456	17214.1132983663
531.556	1064.6065	531.556	1088.78238755382	531.556	1070.76431932575	531.556	1085.98882940807	531.556	4272.83015	531.556	4275.44458456783	531.556	4265.27562214366	531.556	4274.92351019555	531.556	7648.5824	531.556	7614.15578273526	531.556	7572.11504523434	531.556	7599.0366643314	531.556	10906.42555	531.556	10862.330262165	531.556	10804.6298880896	531.556	10816.3366810356	531.556	14174.4777	531.556	14148.6883755758	531.556	14091.6013114996	531.556	14046.9836174323	531.556	17415.76945	531.556	17392.1019170555	531.556	17342.0953184673	531.556	17234.8887449157
531.656	1074.4756	531.656	1099.4935978804	531.656	1071.84791667075	531.656	1095.52754442761	531.656	4319.77465	531.656	4280.39783112585	531.656	4265.53632937433	531.656	4279.63603612014	531.656	7722.8829	531.656	7643.72131903554	531.656	7577.72114107044	531.656	7623.08298319935	531.656	10943.86355	531.656	10911.3498684206	531.656	10820.0783526902	531.656	10850.2158813406	531.656	14228.5632	531.656	14214.870065563	531.656	14123.2554337467	531.656	14082.3625088365	531.656	17504.75895	531.656	17468.7351996763	531.656	17387.9103310669	531.656	17266.5520435292
531.756	1131.1473	531.756	1114.59386032556	531.756	1073.35948442025	531.756	1109.02734116123	531.756	4274.97385	531.756	4287.00913203437	531.756	4265.89555520822	531.756	4285.90809779202	531.756	7743.8758	531.756	7685.74508953619	531.756	7585.02109320534	531.756	7657.89367996888	531.756	10991.94005	531.756	10979.9327415749	531.756	10839.5851519356	531.756	10899.6000138995	531.756	14354.8776	531.756	14305.1959606036	531.756	14162.2720027233	531.756	14134.5231585642	531.756	17583.68835	531.756	17570.6185862472	531.756	17443.6267623221	531.756	17313.5640274372
531.856	1184.8362	531.856	1135.21460996559	531.856	1075.42790521078	531.856	1127.4907720487	531.856	4258.22665	531.856	4295.54681325103	531.856	4266.38772165572	531.856	4293.97359915843	531.856	7785.8324	531.856	7743.8424905438	531.856	7594.41384776781	531.856	7706.68520481781	531.856	11113.16105	531.856	11073.7101052221	531.856	10863.9186887296	531.856	10969.3518994027	531.856	14439.8076	531.856	14426.5264179361	531.856	14209.776825584	531.856	14209.2001167001	531.856	17707.54085	531.856	17704.4753209923	531.856	17510.5120159241	531.856	17381.3805371727
531.956	1177.8589	531.956	1162.47834962697	531.956	1078.21031402988	531.956	1151.88320492895	531.956	4299.78635	531.956	4306.20384291845	531.956	4267.05677595252	531.956	4303.9815611263	531.956	7823.4331	531.956	7821.85149531684	531.956	7606.35122630856	531.956	7772.84370945388	531.956	11224.43815	531.956	11198.7414160372	531.956	10893.8932872349	531.956	11064.7166703626	531.956	14491.3012	531.956	14586.4215210788	531.956	14266.881980942	531.956	14312.8413881487	531.956	17846.09665	531.956	17877.7269723674	531.956	17589.7376061554	531.956	17476.2516269088
532.056	1178.6128	532.056	1197.35525576169	532.056	1081.89455625998	532.056	1182.98697087153	532.056	4316.29725	532.056	4319.04805040086	532.056	4267.95785910323	532.056	4315.94467205526	532.056	7962.3299	532.056	7923.44851132719	532.056	7621.3317344638	532.056	7859.54709571277	532.056	11369.83755	532.056	11360.9588286585	532.056	10930.3405968482	532.056	11190.7948320206	532.056	14712.86	532.056	14792.5601055402	532.056	14334.6249518189	532.056	14452.0883253971	532.056	18030.28765	532.056	18097.9626540187	532.056	17682.2948474045	532.056	17604.7750959034
532.156	1240.9418	532.156	1240.48714446721	532.156	1086.70052162619	532.156	1221.2239962488	532.156	4328.85465	532.156	4333.97590746954	532.156	4269.15891283225	532.156	4329.69146199216	532.156	8078.2344	532.156	8051.62159653554	532.156	7639.88930411212	532.156	7969.24948967658	532.156	11492.32065	532.156	11565.3803989605	532.156	10974.071582433	532.156	11351.7934753877	532.156	15077.7168	532.156	15051.8607843671	532.156	14413.8964161827	532.156	14632.9688635242	532.156	18307.85185	532.156	18372.1169825002	532.156	17788.9010375948	532.156	17773.1682627869
532.256	1296.6758	532.256	1292.00034299243	532.256	1092.87983252678	532.256	1266.46898591141	532.256	4386.21455	532.256	4350.68007592966	532.256	4270.74206951342	532.256	4344.83246036836	532.256	8201.2819	532.256	8208.04273846034	532.256	7662.57624365236	532.256	8103.07057046493	532.256	11831.92365	532.256	11815.1425561848	532.256	11025.8293721009	532.256	11550.1059015943	532.256	15351.7483	532.256	15369.3357748778	532.256	14505.3592871942	532.256	14859.8323066874	532.256	18640.04735	532.256	18705.3739652081	532.256	17909.9009540848	532.256	17986.2703575971
532.356	1344.816	532.356	1351.33954432128	532.356	1100.71332930088	532.356	1317.88579250412	532.356	4365.84155	532.356	4368.64109518006	532.356	4272.80462767907	532.356	4360.75090805036	532.356	8373.928	532.356	8392.42049885655	532.356	7689.9399723828	532.356	8260.17148053448	532.356	12065.78635	532.356	12110.4639582145	532.356	11086.2341265563	532.356	11785.3306078186	532.356	15766.3122	532.356	15746.7820365567	532.356	14609.3630177768	532.356	15134.1261614477	532.356	19035.65945	532.356	19099.883680893	532.356	18045.1700193775	532.356	18246.3560365817
532.456	1421.5058	532.456	1417.16080862119	532.456	1110.5058050859	532.456	1373.82568305699	532.456	4381.57035	532.456	4387.1511920042	532.456	4275.45937835546	532.456	4376.62624079536	532.456	8625.7677	532.456	8601.94842737507	532.456	7722.49355085586	532.456	8437.23270898373	532.456	12432.37355	532.456	12447.7103042092	532.456	11155.722106962	532.456	12053.3970320575	532.456	16158.8769	532.456	16181.4922730666	532.456	14725.8585471219	532.456	15453.1921922764	532.456	19543.06445	532.456	19553.4564478252	532.456	18194.0267452418	532.456	18551.917106242
