temp,dep,ab1,peak1,sig1,ab1_err,peak1_err,sig1_err,ab2,peak2,sig2,ab2_err,peak2_err,sig2_err,ab3,peak3,sig3,ab3_err,peak3_err,sig3_err,ab4,peak4,sig4,ab4_err,peak4_err,sig4_err
70.0,1.0,0.18029095,8.5898265,0.38667638,0.00059923,0.00096462,0.00161962,0.03805657,7.97028442,0.17221643,0.00057933,0.0020993,0.00235455,0.17572563,10.86042914,1.2,0.00086639,0.01931063,0.01519781,0.00364333,6.46420864,0.24827214,0.00018858,0.01520304,0.01532631
70.0,2.0,0.36506635,8.61118662,0.38132804,0.0019217,0.00141947,0.00249284,0.06664921,7.99129691,0.15888085,0.00179866,0.0037625,0.00430928,0.4192932,10.83246369,1.2,0.00265446,0.02449235,0.01946266,0.00560561,6.46175704,0.19118335,0.00076779,0.03049253,0.03067882
70.0,3.0,0.57873772,8.61523153,0.38519382,0.00230121,0.00104498,0.00185309,0.10732998,7.98770795,0.16231478,0.00206953,0.00274523,0.00311072,0.67058513,10.83063818,1.2,0.00305932,0.01787456,0.01440239,0.0103828,6.52657628,0.19961364,0.00086876,0.01953193,0.0197244
70.0,4.0,0.75523251,8.61570644,0.38444097,0.0040802,0.00144369,0.00256883,0.13686245,7.9966569,0.15799673,0.00378939,0.00376413,0.00437928,0.88869272,10.83276468,1.2,0.00552752,0.02408701,0.01928815,0.01274747,6.49899568,0.17921173,0.00166416,0.0272163,0.02741933
80.0,1.0,0.14500654,8.57807621,0.38838021,0.00069147,0.00145146,0.0023297,0.03066122,7.9603507,0.17834622,0.0006856,0.00307366,0.00339271,0.13424543,10.8,1.2,0.00079279,0.02479475,0.0209663,0.00392466,6.53698106,0.25,0.00020971,0.01599095,0.01622083
80.0,2.0,0.3320846,8.61735457,0.37937764,0.00180384,0.00140465,0.0024837,0.06275997,7.98920468,0.16263897,0.00159981,0.00377312,0.00415643,0.39264453,10.87195019,1.2,0.00280763,0.02711718,0.02079229,0.00478064,6.45,0.25,0.0006058,0.03735128,0.03758678
80.0,3.0,0.52128917,8.62180028,0.38459531,0.0022979,0.00116586,0.00205134,0.09702725,7.98883976,0.16333667,0.00207025,0.00311751,0.00349173,0.61505878,10.83932787,1.2,0.00317821,0.01991937,0.01581677,0.0047606,6.47250136,0.17562187,0.00093697,0.040168,0.04042034
80.0,4.0,0.67698281,8.62374081,0.38347925,0.0031918,0.0012199,0.00217752,0.12290139,7.99292145,0.1611641,0.00283839,0.00334867,0.00376168,0.81470423,10.86004985,1.2,0.00472315,0.02202342,0.01714336,0.00701206,6.48264312,0.18714422,0.00125807,0.03908781,0.03934163
80.0,5.0,0.84883187,8.62303594,0.38630636,0.00499328,0.00150755,0.00273983,0.15323708,7.99587921,0.15859154,0.00443492,0.00403646,0.00464609,1.02818838,10.86294411,1.2,0.00736168,0.02717602,0.02122243,0.00797787,6.45,0.19599385,0.00189245,0.05416313,0.05446206
90.0,1.0,0.18338221,8.60155931,0.38048917,0.00077153,0.00119171,0.00197412,0.04184565,7.97295258,0.17713312,0.00071515,0.00261327,0.00272625,0.19028957,10.9,1.2,0.00129597,0.02577342,0.01935059,0.00428191,6.55,0.24699632,0.00024521,0.01681472,0.01700033
