,T (K),RD,RD_err
0,16.1,0.23378192660182456,0.0042111828764046
1,30.0,0.2612651379526291,0.0040367699639421335
2,40.0,0.27319028578124005,0.004029273206013931
3,50.0,0.2872928789159564,0.004063597615129646
4,80.0,0.3275395733282935,0.00396339908073913
5,100.0,0.35965265860647677,0.004051811574723114
6,120.0,0.3850015933019058,0.004185227819924857
7,140.0,0.3825238738592027,0.0050878832430948364
8,150.0,0.37350921684453686,0.003965556092164098
