weight,y,sigma_y,calc_y,Temperature,sigma_T,Observed_field,Calc_field
1,-0.00011364862699078562,-1.1364862699078563e-05,0.00013932624096923973,127.5,1,7403635.228202982,-3560813.085852992
1,-0.00010700747663589253,-1.0700747663589253e-05,-4.5494456571759656e-05,130.0,1,6970997.755800735,1162718.9190459675
1,-9.281215032665785e-05,-9.281215032665786e-06,-0.00032199587985815015,135.0,1,6046243.79509158,8229369.676619543
1,-8.095818518231895e-05,-8.095818518231895e-06,-0.0004450853890602957,137.5,1,5274017.713173024,11375214.508498622
1,-2.2239688056523248e-05,-2.2239688056523247e-06,0.00024217404416049249,140.0,1,1448803.5827557375,-6189333.032325242
